tested_combination,combination_played_order,score_prediction_0,score_prediction_1,score_prediction_2
13 RED - 9 RED,13 RED - 9 RED,-18.12,-3.4,27.16
13 RED - 8 RED,13 RED - 8 RED,-18.13,-2.92,25.93
13 RED - 7 RED,13 RED - 7 RED,-18.4,-4.32,25.92
13 RED - 6 RED,13 RED - 6 RED,-18.34,-4.76,25.52
13 RED - 5 RED,13 RED - 5 RED,-18.09,-3.48,22.48
13 RED - 4 RED,13 RED - 4 RED,-18.34,-4.92,22.95
13 RED - 3 RED,13 RED - 3 RED,-18.07,-4.28,22.05
13 RED - 2 RED,13 RED - 2 RED,-18.19,-3.72,21.34
13 RED - 1 RED,13 RED - 1 RED,-18.17,-3.6,19.2
13 RED - 13 BLUE,13 RED - 13 BLUE,-17.81,-6.72,23.91
13 RED - 12 BLUE,13 RED - 12 BLUE,-17.94,-6.96,20.93
13 RED - 11 BLUE,13 RED - 11 BLUE,-18.08,-7.64,19.05
13 RED - 10 BLUE,13 RED - 10 BLUE,-17.87,-6.92,15.5
13 RED - 9 BLUE,13 RED - 9 BLUE,-17.67,-6.08,12.83
13 RED - 8 BLUE,13 RED - 8 BLUE,-17.58,-6.24,9.62
13 RED - 7 BLUE,13 RED - 7 BLUE,-17.12,-5.44,6.19
13 RED - 6 BLUE,13 RED - 6 BLUE,-17.2,-4.88,5.41
13 RED - 5 BLUE,13 RED - 5 BLUE,-17.12,-4.16,3.03
13 RED - 4 BLUE,13 RED - 4 BLUE,-16.69,-3.32,1.22
13 RED - 3 BLUE,13 RED - 3 BLUE,-16.5,-2.68,-0.39
13 RED - 2 BLUE,13 RED - 2 BLUE,-16.37,-2.16,-1.75
13 RED - 1 BLUE,13 RED - 1 BLUE,-16.42,-2.36,-1.26
13 RED - Jester,13 RED - Jester,-9.91,23.0,-11.75
12 RED - 11 RED,12 RED - 11 RED,-18.08,-3.08,30.93
12 RED - 10 RED,12 RED - 10 RED,-17.86,-2.56,28.72
12 RED - 9 RED,12 RED - 9 RED,-17.75,-2.24,27.44
12 RED - 8 RED,12 RED - 8 RED,-17.81,-2.76,26.57
12 RED - 7 RED,12 RED - 7 RED,-18.06,-3.44,26.22
12 RED - 6 RED,12 RED - 6 RED,-18.0,-3.08,24.27
12 RED - 5 RED,12 RED - 5 RED,-17.95,-3.24,23.67
12 RED - 4 RED,12 RED - 4 RED,-17.82,-2.8,22.34
12 RED - 3 RED,12 RED - 3 RED,-17.83,-2.92,21.49
12 RED - 2 RED,12 RED - 2 RED,-17.95,-3.64,20.76
12 RED - 1 RED,12 RED - 1 RED,-17.99,-3.32,19.75
12 RED - 13 BLUE,12 RED - 13 BLUE,-17.62,-6.6,23.67
12 RED - 12 BLUE,12 RED - 12 BLUE,-17.56,-6.72,19.85
12 RED - 11 BLUE,12 RED - 11 BLUE,-17.41,-7.44,17.44
12 RED - 10 BLUE,12 RED - 10 BLUE,-17.52,-6.12,13.68
12 RED - 9 BLUE,12 RED - 9 BLUE,-17.11,-6.88,11.45
12 RED - 8 BLUE,12 RED - 8 BLUE,-17.16,-6.44,9.93
12 RED - 7 BLUE,12 RED - 7 BLUE,-16.93,-6.4,6.4
12 RED - 6 BLUE,12 RED - 6 BLUE,-16.71,-5.04,4.11
12 RED - 5 BLUE,12 RED - 5 BLUE,-16.35,-4.92,2.16
12 RED - 4 BLUE,12 RED - 4 BLUE,-16.11,-4.52,0.98
12 RED - 3 BLUE,12 RED - 3 BLUE,-15.92,-3.28,-2.45
12 RED - 2 BLUE,12 RED - 2 BLUE,-16.03,-2.76,-1.97
12 RED - 1 BLUE,12 RED - 1 BLUE,-15.55,-1.92,-4.18
12 RED - Jester,12 RED - Jester,-9.28,22.36,-11.91
11 RED - 10 RED,11 RED - 10 RED,-17.68,-1.92,29.0
11 RED - 9 RED,11 RED - 9 RED,-17.91,-2.4,28.42
11 RED - 8 RED,11 RED - 8 RED,-17.9,-2.84,27.41
11 RED - 7 RED,11 RED - 7 RED,-17.74,-2.52,25.96
11 RED - 6 RED,11 RED - 6 RED,-17.87,-2.4,24.75
11 RED - 5 RED,11 RED - 5 RED,-17.67,-2.52,23.57
11 RED - 4 RED,11 RED - 4 RED,-17.83,-2.72,22.54
11 RED - 3 RED,11 RED - 3 RED,-17.71,-2.64,22.55
11 RED - 2 RED,11 RED - 2 RED,-17.36,-1.0,19.47
11 RED - 1 RED,11 RED - 1 RED,-17.59,-2.36,19.48
11 RED - 13 BLUE,11 RED - 13 BLUE,-17.19,-7.16,21.54
11 RED - 12 BLUE,11 RED - 12 BLUE,-17.33,-6.64,20.21
11 RED - 11 BLUE,11 RED - 11 BLUE,-17.06,-6.6,15.96
11 RED - 10 BLUE,11 RED - 10 BLUE,-16.68,-6.92,12.99
11 RED - 9 BLUE,11 RED - 9 BLUE,-16.72,-6.76,10.61
11 RED - 8 BLUE,11 RED - 8 BLUE,-16.61,-6.08,8.42
11 RED - 7 BLUE,11 RED - 7 BLUE,-15.99,-5.88,5.7
11 RED - 6 BLUE,11 RED - 6 BLUE,-16.46,-5.8,5.21
11 RED - 5 BLUE,11 RED - 5 BLUE,-16.28,-5.04,2.11
11 RED - 4 BLUE,11 RED - 4 BLUE,-15.73,-4.4,-0.96
11 RED - 3 BLUE,11 RED - 3 BLUE,-15.11,-3.6,-2.83
11 RED - 2 BLUE,11 RED - 2 BLUE,-15.39,-3.36,-2.63
11 RED - 1 BLUE,11 RED - 1 BLUE,-14.58,-2.28,-4.07
11 RED - Jester,11 RED - Jester,-9.04,21.76,-12.06
10 RED - 9 RED,10 RED - 9 RED,-17.41,-1.08,27.95
10 RED - 8 RED,10 RED - 8 RED,-17.41,-1.04,26.12
10 RED - 7 RED,10 RED - 7 RED,-17.22,-0.92,25.66
10 RED - 6 RED,10 RED - 6 RED,-17.39,-1.08,23.94
10 RED - 5 RED,10 RED - 5 RED,-17.38,-1.04,23.74
10 RED - 4 RED,10 RED - 4 RED,-17.68,-2.68,23.26
10 RED - 3 RED,10 RED - 3 RED,-17.3,-1.76,21.83
10 RED - 2 RED,10 RED - 2 RED,-17.37,-1.72,20.02
10 RED - 1 RED,10 RED - 1 RED,-17.04,-1.44,18.84
10 RED - 13 BLUE,10 RED - 13 BLUE,-16.93,-6.2,21.99
10 RED - 12 BLUE,10 RED - 12 BLUE,-17.18,-6.92,20.42
10 RED - 11 BLUE,10 RED - 11 BLUE,-16.66,-7.24,14.64
10 RED - 10 BLUE,10 RED - 10 BLUE,-16.45,-7.32,13.04
10 RED - 9 BLUE,10 RED - 9 BLUE,-16.09,-6.28,10.31
10 RED - 8 BLUE,10 RED - 8 BLUE,-16.35,-6.6,8.59
10 RED - 7 BLUE,10 RED - 7 BLUE,-15.83,-6.16,5.06
10 RED - 6 BLUE,10 RED - 6 BLUE,-15.85,-5.84,3.5
10 RED - 5 BLUE,10 RED - 5 BLUE,-16.06,-4.84,1.96
10 RED - 4 BLUE,10 RED - 4 BLUE,-15.5,-4.28,-0.01
10 RED - 3 BLUE,10 RED - 3 BLUE,-14.89,-4.2,-1.71
10 RED - 2 BLUE,10 RED - 2 BLUE,-14.7,-3.36,-2.36
10 RED - 1 BLUE,10 RED - 1 BLUE,-14.71,-3.84,-3.49
10 RED - Jester,10 RED - Jester,-8.59,20.68,-12.33
9 RED - 8 RED,9 RED - 8 RED,-17.29,-1.48,27.67
9 RED - 7 RED,9 RED - 7 RED,-17.27,-1.2,26.47
9 RED - 6 RED,9 RED - 6 RED,-17.46,-1.64,26.08
9 RED - 5 RED,9 RED - 5 RED,-16.91,-1.04,22.62
9 RED - 4 RED,9 RED - 4 RED,-16.98,-0.12,22.49
9 RED - 3 RED,9 RED - 3 RED,-16.82,-0.76,21.25
9 RED - 2 RED,9 RED - 2 RED,-16.95,-0.68,21.08
9 RED - 1 RED,9 RED - 1 RED,-16.71,-0.88,19.05
9 RED - 13 BLUE,9 RED - 13 BLUE,-17.09,-7.16,21.9
9 RED - 12 BLUE,9 RED - 12 BLUE,-16.37,-7.32,17.85
9 RED - 11 BLUE,9 RED - 11 BLUE,-16.26,-6.72,14.65
9 RED - 10 BLUE,9 RED - 10 BLUE,-16.19,-7.04,11.28
9 RED - 9 BLUE,9 RED - 9 BLUE,-15.76,-6.48,8.3
9 RED - 8 BLUE,9 RED - 8 BLUE,-15.69,-7.04,6.86
9 RED - 7 BLUE,9 RED - 7 BLUE,-15.33,-6.4,3.12
9 RED - 6 BLUE,9 RED - 6 BLUE,-15.37,-6.6,4.16
9 RED - 5 BLUE,9 RED - 5 BLUE,-14.96,-5.88,0.13
9 RED - 4 BLUE,9 RED - 4 BLUE,-14.81,-4.88,-0.48
9 RED - 3 BLUE,9 RED - 3 BLUE,-14.28,-4.12,-3.32
9 RED - 2 BLUE,9 RED - 2 BLUE,-14.29,-3.72,-4.24
9 RED - 1 BLUE,9 RED - 1 BLUE,-14.46,-4.08,-5.51
9 RED - Jester,9 RED - Jester,-7.9,18.84,-12.79
8 RED - 7 RED,8 RED - 7 RED,-17.21,0.32,26.38
8 RED - 6 RED,8 RED - 6 RED,-16.9,-0.72,25.14
8 RED - 5 RED,8 RED - 5 RED,-16.53,0.28,22.76
8 RED - 4 RED,8 RED - 4 RED,-16.74,0.2,21.11
8 RED - 3 RED,8 RED - 3 RED,-16.77,0.0,20.11
8 RED - 2 RED,8 RED - 2 RED,-16.62,0.32,19.53
8 RED - 1 RED,8 RED - 1 RED,-16.7,0.0,19.03
8 RED - 13 BLUE,8 RED - 13 BLUE,-16.54,-6.2,21.24
8 RED - 12 BLUE,8 RED - 12 BLUE,-16.25,-6.84,16.56
8 RED - 11 BLUE,8 RED - 11 BLUE,-15.53,-6.84,14.87
8 RED - 10 BLUE,8 RED - 10 BLUE,-15.47,-6.96,10.7
8 RED - 9 BLUE,8 RED - 9 BLUE,-15.19,-6.96,9.61
8 RED - 8 BLUE,8 RED - 8 BLUE,-15.4,-7.0,6.46
8 RED - 7 BLUE,8 RED - 7 BLUE,-14.74,-6.88,4.85
8 RED - 6 BLUE,8 RED - 6 BLUE,-15.35,-6.36,3.31
8 RED - 5 BLUE,8 RED - 5 BLUE,-14.31,-6.28,1.75
8 RED - 4 BLUE,8 RED - 4 BLUE,-14.06,-5.32,-1.58
8 RED - 3 BLUE,8 RED - 3 BLUE,-13.92,-4.44,-3.54
8 RED - 2 BLUE,8 RED - 2 BLUE,-13.49,-4.36,-4.2
8 RED - 1 BLUE,8 RED - 1 BLUE,-13.28,-4.2,-5.3
8 RED - Jester,8 RED - Jester,-7.15,18.68,-12.83
7 RED - 6 RED,7 RED - 6 RED,-16.33,1.2,24.2
7 RED - 5 RED,7 RED - 5 RED,-16.39,0.72,22.88
7 RED - 4 RED,7 RED - 4 RED,-16.67,0.24,22.69
7 RED - 3 RED,7 RED - 3 RED,-16.57,0.52,20.98
7 RED - 2 RED,7 RED - 2 RED,-16.19,0.12,19.67
7 RED - 1 RED,7 RED - 1 RED,-16.42,0.24,18.7
7 RED - 13 BLUE,7 RED - 13 BLUE,-15.92,-6.48,19.13
7 RED - 12 BLUE,7 RED - 12 BLUE,-15.79,-6.24,17.01
7 RED - 11 BLUE,7 RED - 11 BLUE,-15.49,-6.8,13.63
7 RED - 10 BLUE,7 RED - 10 BLUE,-15.26,-6.96,9.3
7 RED - 9 BLUE,7 RED - 9 BLUE,-15.17,-7.16,8.42
7 RED - 8 BLUE,7 RED - 8 BLUE,-14.82,-7.84,4.82
7 RED - 7 BLUE,7 RED - 7 BLUE,-14.8,-7.56,3.27
7 RED - 6 BLUE,7 RED - 6 BLUE,-13.73,-6.4,0.25
7 RED - 5 BLUE,7 RED - 5 BLUE,-14.26,-6.04,0.7
7 RED - 4 BLUE,7 RED - 4 BLUE,-14.21,-5.64,-1.53
7 RED - 3 BLUE,7 RED - 3 BLUE,-13.42,-5.32,-3.54
7 RED - 2 BLUE,7 RED - 2 BLUE,-13.26,-4.72,-3.8
7 RED - 1 BLUE,7 RED - 1 BLUE,-12.82,-4.6,-5.35
7 RED - Jester,7 RED - Jester,-6.46,17.64,-13.09
6 RED - 5 RED,6 RED - 5 RED,-16.35,1.4,23.47
6 RED - 4 RED,6 RED - 4 RED,-16.2,1.16,22.94
6 RED - 3 RED,6 RED - 3 RED,-16.26,0.4,22.06
6 RED - 2 RED,6 RED - 2 RED,-16.14,0.84,21.09
6 RED - 1 RED,6 RED - 1 RED,-16.2,1.0,19.94
6 RED - 13 BLUE,6 RED - 13 BLUE,-15.86,-6.24,19.4
6 RED - 12 BLUE,6 RED - 12 BLUE,-15.67,-6.4,15.95
6 RED - 11 BLUE,6 RED - 11 BLUE,-14.93,-7.4,12.6
6 RED - 10 BLUE,6 RED - 10 BLUE,-14.79,-6.96,10.49
6 RED - 9 BLUE,6 RED - 9 BLUE,-14.72,-7.2,7.73
6 RED - 8 BLUE,6 RED - 8 BLUE,-13.93,-6.96,4.88
6 RED - 7 BLUE,6 RED - 7 BLUE,-14.1,-6.8,2.27
6 RED - 6 BLUE,6 RED - 6 BLUE,-14.56,-6.76,2.56
6 RED - 5 BLUE,6 RED - 5 BLUE,-13.68,-6.76,-0.16
6 RED - 4 BLUE,6 RED - 4 BLUE,-13.14,-5.72,-2.48
6 RED - 3 BLUE,6 RED - 3 BLUE,-12.99,-5.72,-3.01
6 RED - 2 BLUE,6 RED - 2 BLUE,-11.37,-5.24,-5.54
6 RED - 1 BLUE,6 RED - 1 BLUE,-11.9,-4.4,-7.01
6 RED - Jester,6 RED - Jester,-6.07,16.24,-13.44
5 RED - 4 RED,5 RED - 4 RED,-15.48,1.88,21.97
5 RED - 3 RED,5 RED - 3 RED,-15.69,1.4,21.38
5 RED - 2 RED,5 RED - 2 RED,-15.88,0.76,21.14
5 RED - 1 RED,5 RED - 1 RED,-15.73,1.96,18.84
5 RED - 13 BLUE,5 RED - 13 BLUE,-15.02,-5.88,17.39
5 RED - 12 BLUE,5 RED - 12 BLUE,-14.83,-6.48,15.54
5 RED - 11 BLUE,5 RED - 11 BLUE,-14.5,-7.24,9.83
5 RED - 10 BLUE,5 RED - 10 BLUE,-14.27,-7.28,8.69
5 RED - 9 BLUE,5 RED - 9 BLUE,-14.41,-7.4,7.69
5 RED - 8 BLUE,5 RED - 8 BLUE,-13.85,-7.24,4.32
5 RED - 7 BLUE,5 RED - 7 BLUE,-13.72,-6.68,2.44
5 RED - 6 BLUE,5 RED - 6 BLUE,-13.25,-6.76,-0.73
5 RED - 5 BLUE,5 RED - 5 BLUE,-13.21,-6.52,-0.02
5 RED - 4 BLUE,5 RED - 4 BLUE,-11.98,-5.96,-2.68
5 RED - 3 BLUE,5 RED - 3 BLUE,-11.71,-5.68,-4.88
5 RED - 2 BLUE,5 RED - 2 BLUE,-11.77,-5.68,-5.73
5 RED - 1 BLUE,5 RED - 1 BLUE,-11.19,-4.52,-6.9
5 RED - Jester,5 RED - Jester,-5.14,15.56,-13.61
4 RED - 3 RED,4 RED - 3 RED,-15.66,1.8,21.95
4 RED - 2 RED,4 RED - 2 RED,-15.27,2.36,20.03
4 RED - 1 RED,4 RED - 1 RED,-15.43,3.08,18.72
4 RED - 13 BLUE,4 RED - 13 BLUE,-14.77,-6.12,18.15
4 RED - 12 BLUE,4 RED - 12 BLUE,-14.29,-5.88,12.79
4 RED - 11 BLUE,4 RED - 11 BLUE,-14.4,-6.4,11.89
4 RED - 10 BLUE,4 RED - 10 BLUE,-13.79,-6.96,6.69
4 RED - 9 BLUE,4 RED - 9 BLUE,-13.97,-6.92,6.29
4 RED - 8 BLUE,4 RED - 8 BLUE,-13.0,-6.8,2.9
4 RED - 7 BLUE,4 RED - 7 BLUE,-13.17,-7.28,2.52
4 RED - 6 BLUE,4 RED - 6 BLUE,-12.58,-6.92,0.3
4 RED - 5 BLUE,4 RED - 5 BLUE,-12.34,-7.16,-2.59
4 RED - 4 BLUE,4 RED - 4 BLUE,-11.84,-6.28,-2.29
4 RED - 3 BLUE,4 RED - 3 BLUE,-11.53,-5.68,-4.33
4 RED - 2 BLUE,4 RED - 2 BLUE,-10.57,-5.6,-4.75
4 RED - 1 BLUE,4 RED - 1 BLUE,-11.08,-5.68,-6.47
4 RED - Jester,4 RED - Jester,-4.96,13.24,-14.19
3 RED - 2 RED,3 RED - 2 RED,-14.98,3.6,19.4
3 RED - 1 RED,3 RED - 1 RED,-15.36,3.0,20.08
3 RED - 13 BLUE,3 RED - 13 BLUE,-14.75,-6.44,16.87
3 RED - 12 BLUE,3 RED - 12 BLUE,-14.77,-6.52,16.11
3 RED - 11 BLUE,3 RED - 11 BLUE,-13.65,-6.6,10.79
3 RED - 10 BLUE,3 RED - 10 BLUE,-13.95,-7.16,8.9
3 RED - 9 BLUE,3 RED - 9 BLUE,-13.42,-6.88,5.71
3 RED - 8 BLUE,3 RED - 8 BLUE,-13.15,-7.6,2.88
3 RED - 7 BLUE,3 RED - 7 BLUE,-12.57,-7.28,2.04
3 RED - 6 BLUE,3 RED - 6 BLUE,-11.93,-7.2,-0.03
3 RED - 5 BLUE,3 RED - 5 BLUE,-11.99,-6.92,-1.68
3 RED - 4 BLUE,3 RED - 4 BLUE,-11.41,-7.12,-3.66
3 RED - 3 BLUE,3 RED - 3 BLUE,-11.35,-6.96,-4.28
3 RED - 2 BLUE,3 RED - 2 BLUE,-10.74,-5.72,-5.42
3 RED - 1 BLUE,3 RED - 1 BLUE,-9.77,-5.68,-7.46
3 RED - Jester,3 RED - Jester,-4.15,13.48,-14.13
2 RED - 1 RED,2 RED - 1 RED,-14.82,3.0,19.91
2 RED - 13 BLUE,2 RED - 13 BLUE,-13.89,-5.72,15.32
2 RED - 12 BLUE,2 RED - 12 BLUE,-13.3,-4.92,11.96
2 RED - 11 BLUE,2 RED - 11 BLUE,-13.43,-7.24,9.2
2 RED - 10 BLUE,2 RED - 10 BLUE,-13.37,-6.84,7.99
2 RED - 9 BLUE,2 RED - 9 BLUE,-13.2,-6.6,4.76
2 RED - 8 BLUE,2 RED - 8 BLUE,-12.47,-7.12,2.79
2 RED - 7 BLUE,2 RED - 7 BLUE,-11.86,-7.12,0.65
2 RED - 6 BLUE,2 RED - 6 BLUE,-12.71,-7.4,0.2
2 RED - 5 BLUE,2 RED - 5 BLUE,-10.96,-7.12,-3.29
2 RED - 4 BLUE,2 RED - 4 BLUE,-11.4,-7.16,-3.68
2 RED - 3 BLUE,2 RED - 3 BLUE,-10.04,-6.92,-6.36
2 RED - 2 BLUE,2 RED - 2 BLUE,-9.71,-6.6,-6.44
2 RED - 1 BLUE,2 RED - 1 BLUE,-9.4,-5.44,-6.85
2 RED - Jester,2 RED - Jester,-3.88,12.12,-14.47
1 RED - 13 BLUE,1 RED - 13 BLUE,-13.52,-5.92,15.1
1 RED - 12 BLUE,1 RED - 12 BLUE,-12.71,-5.56,10.78
1 RED - 11 BLUE,1 RED - 11 BLUE,-12.96,-6.24,8.12
1 RED - 10 BLUE,1 RED - 10 BLUE,-12.32,-6.56,5.98
1 RED - 9 BLUE,1 RED - 9 BLUE,-12.09,-7.4,5.22
1 RED - 8 BLUE,1 RED - 8 BLUE,-11.24,-7.2,1.43
1 RED - 7 BLUE,1 RED - 7 BLUE,-11.22,-7.08,0.99
1 RED - 6 BLUE,1 RED - 6 BLUE,-11.72,-6.92,-0.44
1 RED - 5 BLUE,1 RED - 5 BLUE,-11.28,-6.92,-2.82
1 RED - 4 BLUE,1 RED - 4 BLUE,-10.72,-6.96,-4.04
1 RED - 3 BLUE,1 RED - 3 BLUE,-9.4,-6.24,-6.03
1 RED - 2 BLUE,1 RED - 2 BLUE,-10.0,-5.96,-5.86
1 RED - 1 BLUE,1 RED - 1 BLUE,-8.31,-6.0,-8.58
1 RED - Jester,1 RED - Jester,-3.82,13.84,-14.04
13 BLUE - 12 BLUE,13 BLUE - 12 BLUE,-13.64,-5.4,13.25
13 BLUE - 11 BLUE,13 BLUE - 11 BLUE,-13.67,-6.56,9.72
13 BLUE - 10 BLUE,13 BLUE - 10 BLUE,-13.03,-6.04,5.53
13 BLUE - 9 BLUE,13 BLUE - 9 BLUE,-13.13,-6.4,4.13
13 BLUE - 8 BLUE,13 BLUE - 8 BLUE,-13.13,-6.96,1.19
13 BLUE - 7 BLUE,13 BLUE - 7 BLUE,-13.63,-6.68,-1.84
13 BLUE - 6 BLUE,13 BLUE - 6 BLUE,-13.5,-6.92,-3.83
13 BLUE - 5 BLUE,13 BLUE - 5 BLUE,-13.49,-7.32,-3.85
13 BLUE - 4 BLUE,13 BLUE - 4 BLUE,-13.08,-7.96,-6.93
13 BLUE - 3 BLUE,13 BLUE - 3 BLUE,-13.11,-7.52,-9.47
13 BLUE - 2 BLUE,13 BLUE - 2 BLUE,-13.29,-7.68,-9.75
13 BLUE - 1 BLUE,13 BLUE - 1 BLUE,-13.06,-6.96,-11.81
13 BLUE - 13 GREEN,13 BLUE - 13 GREEN,-13.21,-3.16,13.39
13 BLUE - 12 GREEN,13 BLUE - 12 GREEN,-13.08,-2.68,9.74
13 BLUE - 11 GREEN,13 BLUE - 11 GREEN,-13.04,-2.96,7.81
13 BLUE - 10 GREEN,13 BLUE - 10 GREEN,-13.17,-2.76,5.99
13 BLUE - 9 GREEN,13 BLUE - 9 GREEN,-13.03,-1.84,2.68
13 BLUE - 8 GREEN,13 BLUE - 8 GREEN,-12.57,-2.12,-0.13
13 BLUE - 7 GREEN,13 BLUE - 7 GREEN,-12.22,-2.68,-1.92
13 BLUE - 6 GREEN,13 BLUE - 6 GREEN,-11.87,-2.28,-5.02
13 BLUE - 5 GREEN,13 BLUE - 5 GREEN,-12.07,-2.76,-5.4
13 BLUE - 4 GREEN,13 BLUE - 4 GREEN,-11.06,-2.36,-6.04
13 BLUE - 3 GREEN,13 BLUE - 3 GREEN,-11.39,-2.04,-8.57
13 BLUE - 2 GREEN,13 BLUE - 2 GREEN,-11.16,-2.08,-10.38
13 BLUE - 1 GREEN,13 BLUE - 1 GREEN,-10.91,-1.68,-10.82
13 BLUE - Jester,13 BLUE - Jester,-8.29,-2.72,-18.18
12 BLUE - 11 BLUE,12 BLUE - 11 BLUE,-11.44,-4.96,8.98
12 BLUE - 10 BLUE,12 BLUE - 10 BLUE,-11.2,-6.32,7.04
12 BLUE - 9 BLUE,12 BLUE - 9 BLUE,-11.69,-6.96,3.9
12 BLUE - 8 BLUE,12 BLUE - 8 BLUE,-10.85,-7.68,0.82
12 BLUE - 7 BLUE,12 BLUE - 7 BLUE,-10.76,-7.56,-1.18
12 BLUE - 6 BLUE,12 BLUE - 6 BLUE,-10.68,-7.2,-3.7
12 BLUE - 5 BLUE,12 BLUE - 5 BLUE,-11.27,-7.44,-4.26
12 BLUE - 4 BLUE,12 BLUE - 4 BLUE,-10.79,-8.32,-7.24
12 BLUE - 3 BLUE,12 BLUE - 3 BLUE,-10.72,-7.72,-9.33
12 BLUE - 2 BLUE,12 BLUE - 2 BLUE,-11.09,-8.12,-9.65
12 BLUE - 1 BLUE,12 BLUE - 1 BLUE,-10.92,-7.88,-11.1
12 BLUE - 12 GREEN,12 BLUE - 12 GREEN,-12.93,-2.92,7.47
12 BLUE - 11 GREEN,12 BLUE - 11 GREEN,-12.6,-3.0,5.19
12 BLUE - 10 GREEN,12 BLUE - 10 GREEN,-12.69,-3.68,2.99
12 BLUE - 9 GREEN,12 BLUE - 9 GREEN,-12.63,-3.44,1.36
12 BLUE - 8 GREEN,12 BLUE - 8 GREEN,-11.83,-3.28,-2.66
12 BLUE - 7 GREEN,12 BLUE - 7 GREEN,-11.27,-2.8,-3.47
12 BLUE - 6 GREEN,12 BLUE - 6 GREEN,-11.62,-2.44,-5.74
12 BLUE - 5 GREEN,12 BLUE - 5 GREEN,-10.71,-2.6,-7.78
12 BLUE - 4 GREEN,12 BLUE - 4 GREEN,-10.31,-3.24,-8.79
12 BLUE - 3 GREEN,12 BLUE - 3 GREEN,-10.27,-3.12,-9.45
12 BLUE - 2 GREEN,12 BLUE - 2 GREEN,-10.13,-2.92,-11.48
12 BLUE - 1 GREEN,12 BLUE - 1 GREEN,-9.99,-2.72,-11.29
12 BLUE - Jester,12 BLUE - Jester,-6.61,-2.16,-18.04
11 BLUE - 10 BLUE,11 BLUE - 10 BLUE,-8.96,-5.76,7.04
11 BLUE - 9 BLUE,11 BLUE - 9 BLUE,-8.84,-6.16,2.94
11 BLUE - 8 BLUE,11 BLUE - 8 BLUE,-8.38,-6.24,-0.21
11 BLUE - 7 BLUE,11 BLUE - 7 BLUE,-8.7,-6.84,-0.97
11 BLUE - 6 BLUE,11 BLUE - 6 BLUE,-8.63,-7.04,-3.76
11 BLUE - 5 BLUE,11 BLUE - 5 BLUE,-9.17,-7.68,-4.85
11 BLUE - 4 BLUE,11 BLUE - 4 BLUE,-8.65,-8.12,-7.66
11 BLUE - 3 BLUE,11 BLUE - 3 BLUE,-8.33,-7.36,-9.05
11 BLUE - 2 BLUE,11 BLUE - 2 BLUE,-8.74,-7.8,-10.88
11 BLUE - 1 BLUE,11 BLUE - 1 BLUE,-8.51,-8.28,-11.9
11 BLUE - 11 GREEN,11 BLUE - 11 GREEN,-11.98,-3.6,2.85
11 BLUE - 10 GREEN,11 BLUE - 10 GREEN,-10.71,-3.2,-1.1
11 BLUE - 9 GREEN,11 BLUE - 9 GREEN,-10.69,-3.8,-3.41
11 BLUE - 8 GREEN,11 BLUE - 8 GREEN,-10.48,-3.16,-4.89
11 BLUE - 7 GREEN,11 BLUE - 7 GREEN,-10.56,-4.44,-5.86
