tested_combination,combination_played_order,score_prediction_0,score_prediction_1,score_prediction_2
Magician - Magician,Magician - Magician,-20.0,-10.0,40.0
Magician - 13 RED,Magician - 13 RED,-20.0,-10.0,35.6
Magician - 12 RED,Magician - 12 RED,-19.99,-10.0,34.54
Magician - 11 RED,Magician - 11 RED,-19.95,-9.8,32.59
Magician - 10 RED,Magician - 10 RED,-19.95,-9.8,31.85
Magician - 9 RED,Magician - 9 RED,-19.91,-9.68,30.19
Magician - 8 RED,Magician - 8 RED,-19.85,-9.44,28.04
Magician - 7 RED,Magician - 7 RED,-19.87,-9.48,28.63
Magician - 6 RED,Magician - 6 RED,-19.72,-9.0,26.96
Magician - 5 RED,Magician - 5 RED,-19.75,-9.08,24.92
Magician - 4 RED,Magician - 4 RED,-19.66,-8.64,24.14
Magician - 3 RED,Magician - 3 RED,-19.55,-8.28,23.53
Magician - 2 RED,Magician - 2 RED,-19.55,-8.32,23.1
Magician - 1 RED,Magician - 1 RED,-19.57,-8.32,21.52
Magician - 13 BLUE,Magician - 13 BLUE,-19.47,-7.92,18.94
Magician - 12 BLUE,Magician - 12 BLUE,-19.31,-7.44,16.56
Magician - 11 BLUE,Magician - 11 BLUE,-19.21,-6.96,12.92
Magician - 10 BLUE,Magician - 10 BLUE,-18.82,-5.52,10.07
Magician - 9 BLUE,Magician - 9 BLUE,-19.01,-6.2,9.13
Magician - 8 BLUE,Magician - 8 BLUE,-18.66,-5.12,7.3
Magician - 7 BLUE,Magician - 7 BLUE,-18.52,-4.44,5.76
Magician - 6 BLUE,Magician - 6 BLUE,-18.16,-2.84,2.86
Magician - 5 BLUE,Magician - 5 BLUE,-18.03,-2.6,2.09
Magician - 4 BLUE,Magician - 4 BLUE,-17.57,-0.68,-0.78
Magician - 3 BLUE,Magician - 3 BLUE,-17.46,-0.24,-1.21
Magician - 2 BLUE,Magician - 2 BLUE,-17.07,1.32,-2.17
Magician - 1 BLUE,Magician - 1 BLUE,-16.82,1.8,-3.75
Magician - Jester,Magician - Jester,-10.0,28.72,-10.32
13 RED - 12 RED,13 RED - 12 RED,-18.35,-3.6,31.7
13 RED - 11 RED,13 RED - 11 RED,-18.32,-4.12,31.03
13 RED - 10 RED,13 RED - 10 RED,-18.26,-3.52,29.11
