,tested_combination,combination_played_order,score_prediction_0,score_prediction_1,score_prediction_2
0,1 BLUE - 1 GREEN,1 BLUE - 1 GREEN,-14.0,-2.0,-4.0
1,1 BLUE - 1 GREEN,1 GREEN - 1 BLUE,6.0,-10.0,-8.0
2,1 BLUE - 10 BLUE,1 BLUE - 10 BLUE,14.0,-10.0,-20.0
3,1 BLUE - 10 BLUE,10 BLUE - 1 BLUE,14.0,-10.0,-20.0
4,1 BLUE - 11 BLUE,1 BLUE - 11 BLUE,-2.0,-10.0,4.0
5,1 BLUE - 11 BLUE,11 BLUE - 1 BLUE,-16.0,-10.0,16.0
6,1 BLUE - 12 BLUE,1 BLUE - 12 BLUE,2.0,-2.0,-18.0
7,1 BLUE - 12 BLUE,12 BLUE - 1 BLUE,-6.0,-2.0,-6.0
8,1 BLUE - 13 BLUE,1 BLUE - 13 BLUE,12.0,-10.0,-8.0
9,1 BLUE - 13 BLUE,13 BLUE - 1 BLUE,-10.0,-10.0,16.0
10,1 BLUE - 2 BLUE,1 BLUE - 2 BLUE,0.0,-10.0,-8.0
11,1 BLUE - 2 BLUE,2 BLUE - 1 BLUE,0.0,-10.0,-8.0
12,1 BLUE - 3 BLUE,1 BLUE - 3 BLUE,20.0,-10.0,-20.0
13,1 BLUE - 3 BLUE,3 BLUE - 1 BLUE,20.0,-10.0,-20.0
14,1 BLUE - 4 BLUE,1 BLUE - 4 BLUE,6.0,-10.0,-8.0
15,1 BLUE - 4 BLUE,4 BLUE - 1 BLUE,0.0,-2.0,-6.0
16,1 BLUE - 5 BLUE,1 BLUE - 5 BLUE,8.0,-10.0,-20.0
17,1 BLUE - 5 BLUE,5 BLUE - 1 BLUE,8.0,-10.0,-20.0
18,1 BLUE - 6 BLUE,1 BLUE - 6 BLUE,12.0,-10.0,-8.0
19,1 BLUE - 6 BLUE,6 BLUE - 1 BLUE,12.0,-10.0,-8.0
20,1 BLUE - 7 BLUE,1 BLUE - 7 BLUE,8.0,-10.0,-20.0
21,1 BLUE - 7 BLUE,7 BLUE - 1 BLUE,-6.0,-10.0,-8.0
22,1 BLUE - 8 BLUE,1 BLUE - 8 BLUE,14.0,-10.0,-20.0
23,1 BLUE - 8 BLUE,8 BLUE - 1 BLUE,0.0,-2.0,-6.0
24,1 BLUE - 9 BLUE,1 BLUE - 9 BLUE,8.0,-2.0,-18.0
25,1 BLUE - 9 BLUE,9 BLUE - 1 BLUE,-14.0,-2.0,6.0
26,1 RED - 1 BLUE,1 BLUE - 1 RED,-10.0,22.0,-12.0
27,1 RED - 1 BLUE,1 RED - 1 BLUE,-6.0,-2.0,-16.0
28,1 RED - 10 BLUE,1 RED - 10 BLUE,-8.0,6.0,8.0
29,1 RED - 10 BLUE,10 BLUE - 1 RED,-14.0,6.0,8.0
30,1 RED - 11 BLUE,1 RED - 11 BLUE,0.0,-2.0,-6.0
31,1 RED - 11 BLUE,11 BLUE - 1 RED,-12.0,22.0,0.0
32,1 RED - 12 BLUE,1 RED - 12 BLUE,-4.0,-10.0,16.0
33,1 RED - 12 BLUE,12 BLUE - 1 RED,-10.0,-2.0,18.0
34,1 RED - 13 BLUE,1 RED - 13 BLUE,-12.0,6.0,-4.0
35,1 RED - 13 BLUE,13 BLUE - 1 RED,-12.0,22.0,0.0
36,1 RED - 2 BLUE,1 RED - 2 BLUE,-8.0,-10.0,-16.0
37,1 RED - 2 BLUE,2 BLUE - 1 RED,-4.0,14.0,-14.0
38,1 RED - 3 BLUE,1 RED - 3 BLUE,6.0,-2.0,-16.0
39,1 RED - 3 BLUE,3 BLUE - 1 RED,2.0,6.0,-16.0
40,1 RED - 4 BLUE,1 RED - 4 BLUE,-6.0,-10.0,-18.0
41,1 RED - 4 BLUE,4 BLUE - 1 RED,-10.0,30.0,-10.0
42,1 RED - 5 BLUE,1 RED - 5 BLUE,-8.0,-2.0,-4.0
43,1 RED - 5 BLUE,5 BLUE - 1 RED,-12.0,14.0,-2.0
44,1 RED - 6 BLUE,1 RED - 6 BLUE,-4.0,-10.0,-14.0
45,1 RED - 6 BLUE,6 BLUE - 1 RED,-4.0,14.0,-14.0
46,1 RED - 7 BLUE,1 RED - 7 BLUE,-10.0,-2.0,8.0
47,1 RED - 7 BLUE,7 BLUE - 1 RED,-14.0,6.0,8.0
48,1 RED - 8 BLUE,1 RED - 8 BLUE,-12.0,-10.0,28.0
49,1 RED - 8 BLUE,8 BLUE - 1 RED,-12.0,-10.0,28.0
50,1 RED - 9 BLUE,1 RED - 9 BLUE,0.0,-10.0,-18.0
51,1 RED - 9 BLUE,9 BLUE - 1 RED,-4.0,14.0,-14.0
52,10 BLUE - 1 GREEN,1 GREEN - 10 BLUE,14.0,-10.0,-20.0
53,10 BLUE - 1 GREEN,10 BLUE - 1 GREEN,2.0,-10.0,-20.0
54,10 BLUE - 10 GREEN,10 BLUE - 10 GREEN,-2.0,-2.0,-4.0
55,10 BLUE - 10 GREEN,10 GREEN - 10 BLUE,-2.0,-2.0,-4.0
56,10 BLUE - 11 BLUE,10 BLUE - 11 BLUE,0.0,-2.0,-6.0
57,10 BLUE - 11 BLUE,11 BLUE - 10 BLUE,0.0,-2.0,-6.0
58,10 BLUE - 2 GREEN,10 BLUE - 2 GREEN,-14.0,14.0,-12.0
59,10 BLUE - 2 GREEN,2 GREEN - 10 BLUE,2.0,14.0,-14.0
60,10 BLUE - 3 GREEN,10 BLUE - 3 GREEN,0.0,-2.0,-6.0
61,10 BLUE - 3 GREEN,3 GREEN - 10 BLUE,6.0,-10.0,-8.0
62,10 BLUE - 4 BLUE,10 BLUE - 4 BLUE,-2.0,-2.0,6.0
63,10 BLUE - 4 BLUE,4 BLUE - 10 BLUE,4.0,-10.0,4.0
64,10 BLUE - 4 GREEN,10 BLUE - 4 GREEN,-10.0,30.0,-10.0
65,10 BLUE - 4 GREEN,4 GREEN - 10 BLUE,-10.0,22.0,-12.0
66,10 BLUE - 5 GREEN,10 BLUE - 5 GREEN,8.0,-10.0,-20.0
67,10 BLUE - 5 GREEN,5 GREEN - 10 BLUE,2.0,-10.0,-20.0
68,10 BLUE - 6 GREEN,10 BLUE - 6 GREEN,-14.0,6.0,-2.0
69,10 BLUE - 6 GREEN,6 GREEN - 10 BLUE,-8.0,6.0,-4.0
70,10 BLUE - 7 GREEN,10 BLUE - 7 GREEN,-8.0,-2.0,-14.0
71,10 BLUE - 7 GREEN,7 GREEN - 10 BLUE,2.0,-2.0,-18.0
72,10 BLUE - 8 BLUE,10 BLUE - 8 BLUE,-12.0,6.0,-4.0
73,10 BLUE - 8 BLUE,8 BLUE - 10 BLUE,-6.0,-2.0,-6.0
74,10 BLUE - 8 GREEN,10 BLUE - 8 GREEN,-6.0,-10.0,-20.0
75,10 BLUE - 8 GREEN,8 GREEN - 10 BLUE,-6.0,-10.0,-18.0
76,10 BLUE - 9 BLUE,10 BLUE - 9 BLUE,-10.0,-10.0,16.0
77,10 BLUE - 9 BLUE,9 BLUE - 10 BLUE,-10.0,-10.0,16.0
78,10 BLUE - 9 GREEN,10 BLUE - 9 GREEN,-6.0,-2.0,-16.0
79,10 BLUE - 9 GREEN,9 GREEN - 10 BLUE,14.0,-2.0,-18.0
80,10 RED - 1 BLUE,1 BLUE - 10 RED,-14.0,6.0,8.0
81,10 RED - 1 BLUE,10 RED - 1 BLUE,-10.0,-10.0,6.0
82,10 RED - 1 RED,1 RED - 10 RED,-16.0,-2.0,18.0
83,10 RED - 1 RED,10 RED - 1 RED,-10.0,-2.0,18.0
84,10 RED - 10 BLUE,10 BLUE - 10 RED,-16.0,-2.0,8.0
85,10 RED - 10 BLUE,10 RED - 10 BLUE,-16.0,-10.0,6.0
86,10 RED - 11 BLUE,10 RED - 11 BLUE,-18.0,-10.0,28.0
87,10 RED - 11 BLUE,11 BLUE - 10 RED,-12.0,-10.0,28.0
88,10 RED - 12 BLUE,10 RED - 12 BLUE,-16.0,-10.0,6.0
89,10 RED - 12 BLUE,12 BLUE - 10 RED,-14.0,6.0,8.0
90,10 RED - 13 BLUE,10 RED - 13 BLUE,-16.0,-2.0,18.0
91,10 RED - 13 BLUE,13 BLUE - 10 RED,-16.0,6.0,10.0
92,10 RED - 2 BLUE,10 RED - 2 BLUE,-18.0,-10.0,-12.0
93,10 RED - 2 BLUE,2 BLUE - 10 RED,-10.0,30.0,-10.0
94,10 RED - 3 BLUE,10 RED - 3 BLUE,-16.0,-2.0,18.0
95,10 RED - 3 BLUE,3 BLUE - 10 RED,-16.0,-2.0,8.0
