,tested_combination,combination_played_order,score_prediction_0,score_prediction_1,score_prediction_2
939,Magician - Magician,Magician - Magician,-20.0,-10.0,40.0
914,Magician - 13 RED,Magician - 13 RED,-20.0,-10.0,36.0
913,Magician - 13 RED,13 RED - Magician,-20.0,-10.0,36.5
292,12 RED - Magician,12 RED - Magician,-19.766666666666666,-9.066666666666666,36.666666666666664
293,12 RED - Magician,Magician - 12 RED,-19.966666666666665,-9.866666666666667,36.333333333333336
195,11 RED - Magician,Magician - 11 RED,-19.933333333333334,-9.733333333333333,33.333333333333336
194,11 RED - Magician,11 RED - Magician,-19.7,-8.933333333333334,33.3
905,Magician - 10 RED,10 RED - Magician,-19.133333333333333,-7.066666666666666,30.966666666666665
906,Magician - 10 RED,Magician - 10 RED,-19.833333333333332,-9.333333333333334,31.0
938,Magician - 9 RED,Magician - 9 RED,-19.666666666666668,-8.666666666666666,29.0
937,Magician - 9 RED,9 RED - Magician,-18.766666666666666,-5.6,29.466666666666665
779,8 RED - Magician,Magician - 8 RED,-19.9,-9.6,28.0
778,8 RED - Magician,8 RED - Magician,-18.4,-4.133333333333334,27.966666666666665
932,Magician - 7 RED,Magician - 7 RED,-19.866666666666667,-9.466666666666667,26.5
931,Magician - 7 RED,7 RED - Magician,-18.533333333333335,-4.133333333333334,26.666666666666668
927,Magician - 6 RED,6 RED - Magician,-17.8,-1.7333333333333334,26.133333333333333
928,Magician - 6 RED,Magician - 6 RED,-19.733333333333334,-8.933333333333334,26.166666666666668
583,5 RED - Magician,Magician - 5 RED,-19.633333333333333,-8.533333333333333,23.833333333333332
582,5 RED - Magician,5 RED - Magician,-17.333333333333332,-1.4666666666666666,23.7
921,Magician - 4 RED,4 RED - Magician,-17.4,-0.13333333333333333,22.133333333333333
922,Magician - 4 RED,Magician - 4 RED,-19.566666666666666,-8.266666666666667,22.166666666666668
471,3 RED - Magician,Magician - 3 RED,-19.433333333333334,-7.733333333333333,22.666666666666668
470,3 RED - Magician,3 RED - Magician,-16.733333333333334,0.8,22.5
421,2 RED - Magician,Magician - 2 RED,-19.533333333333335,-8.133333333333333,25.833333333333332
420,2 RED - Magician,2 RED - Magician,-17.433333333333334,-1.3333333333333333,25.733333333333334
60,1 RED - Magician,1 RED - Magician,-16.833333333333332,0.9333333333333333,22.033333333333335
61,1 RED - Magician,Magician - 1 RED,-19.466666666666665,-7.866666666666666,22.166666666666668
911,Magician - 13 BLUE,13 BLUE - Magician,-19.466666666666665,-8.4,22.633333333333333
912,Magician - 13 BLUE,Magician - 13 BLUE,-19.3,-7.2,19.166666666666668
909,Magician - 12 BLUE,12 BLUE - Magician,-18.533333333333335,-5.733333333333333,19.3
910,Magician - 12 BLUE,Magician - 12 BLUE,-19.1,-6.4,15.5
907,Magician - 11 BLUE,11 BLUE - Magician,-18.266666666666666,-4.666666666666667,16.1
908,Magician - 11 BLUE,Magician - 11 BLUE,-19.033333333333335,-6.133333333333334,14.0
903,Magician - 10 BLUE,10 BLUE - Magician,-17.933333333333334,-4.0,16.8
904,Magician - 10 BLUE,Magician - 10 BLUE,-19.366666666666667,-7.466666666666667,13.666666666666666
936,Magician - 9 BLUE,Magician - 9 BLUE,-18.966666666666665,-5.866666666666666,8.833333333333334
935,Magician - 9 BLUE,9 BLUE - Magician,-16.566666666666666,2.0,10.1
933,Magician - 8 BLUE,8 BLUE - Magician,-16.133333333333333,4.0,9.1
934,Magician - 8 BLUE,Magician - 8 BLUE,-17.933333333333334,-1.7333333333333334,7.666666666666667
929,Magician - 7 BLUE,7 BLUE - Magician,-15.766666666666667,4.533333333333333,8.266666666666667
930,Magician - 7 BLUE,Magician - 7 BLUE,-18.533333333333335,-4.133333333333334,7.0
926,Magician - 6 BLUE,Magician - 6 BLUE,-18.166666666666668,-2.6666666666666665,0.8333333333333334
925,Magician - 6 BLUE,6 BLUE - Magician,-14.466666666666667,9.866666666666667,1.8666666666666667
924,Magician - 5 BLUE,Magician - 5 BLUE,-17.866666666666667,-1.4666666666666666,0.5
923,Magician - 5 BLUE,5 BLUE - Magician,-14.1,9.866666666666667,1.2
920,Magician - 4 BLUE,Magician - 4 BLUE,-17.6,-0.4,2.0
919,Magician - 4 BLUE,4 BLUE - Magician,-13.866666666666667,10.933333333333334,2.1333333333333333
918,Magician - 3 BLUE,Magician - 3 BLUE,-17.3,0.8,-0.16666666666666666
917,Magician - 3 BLUE,3 BLUE - Magician,-13.433333333333334,12.4,-0.4666666666666667
916,Magician - 2 BLUE,Magician - 2 BLUE,-17.1,1.6,-2.0
915,Magician - 2 BLUE,2 BLUE - Magician,-12.833333333333334,15.866666666666667,-2.3333333333333335
902,Magician - 1 BLUE,Magician - 1 BLUE,-16.7,3.2,-4.166666666666667
901,Magician - 1 BLUE,1 BLUE - Magician,-12.3,16.133333333333333,-4.633333333333334
899,Jester - Magician,Jester - Magician,-9.9,26.533333333333335,-10.866666666666667
900,Jester - Magician,Magician - Jester,-10.0,30.0,-10.0
256,12 RED - 13 RED,12 RED - 13 RED,-18.1,-2.533333333333333,30.466666666666665
257,12 RED - 13 RED,13 RED - 12 RED,-18.1,-2.533333333333333,30.466666666666665
165,11 RED - 13 RED,13 RED - 11 RED,-18.233333333333334,-4.133333333333334,32.06666666666667
164,11 RED - 13 RED,11 RED - 13 RED,-18.0,-3.3333333333333335,30.866666666666667
97,10 RED - 13 RED,13 RED - 10 RED,-18.133333333333333,-3.466666666666667,30.7
96,10 RED - 13 RED,10 RED - 13 RED,-17.466666666666665,-1.6,27.766666666666666
830,9 RED - 13 RED,13 RED - 9 RED,-18.433333333333334,-4.533333333333333,32.233333333333334
831,9 RED - 13 RED,9 RED - 13 RED,-17.666666666666668,-2.533333333333333,29.333333333333332
744,8 RED - 13 RED,13 RED - 8 RED,-18.633333333333333,-4.933333333333334,32.4
745,8 RED - 13 RED,8 RED - 13 RED,-17.466666666666665,-1.2,26.933333333333334
672,7 RED - 13 RED,13 RED - 7 RED,-18.466666666666665,-4.0,31.3
673,7 RED - 13 RED,7 RED - 13 RED,-17.233333333333334,-0.26666666666666666,25.6
349,13 RED - 6 RED,6 RED - 13 RED,-17.3,-0.9333333333333333,27.1
348,13 RED - 6 RED,13 RED - 6 RED,-18.533333333333335,-4.266666666666667,32.3
557,5 RED - 13 RED,5 RED - 13 RED,-16.033333333333335,2.4,21.8
556,5 RED - 13 RED,13 RED - 5 RED,-17.9,-2.933333333333333,29.866666666666667
491,4 RED - 13 RED,4 RED - 13 RED,-16.166666666666668,3.3333333333333335,20.7
490,4 RED - 13 RED,13 RED - 4 RED,-18.0,-2.1333333333333333,29.133333333333333
442,3 RED - 13 RED,13 RED - 3 RED,-18.033333333333335,-2.6666666666666665,30.133333333333333
443,3 RED - 13 RED,3 RED - 13 RED,-15.566666666666666,3.2,21.0
389,2 RED - 13 RED,2 RED - 13 RED,-15.966666666666667,3.3333333333333335,21.533333333333335
388,2 RED - 13 RED,13 RED - 2 RED,-17.933333333333334,-3.3333333333333335,30.466666666666665
31,1 RED - 13 RED,13 RED - 1 RED,-17.866666666666667,-2.2666666666666666,29.733333333333334
30,1 RED - 13 RED,1 RED - 13 RED,-15.133333333333333,4.8,18.7
337,13 RED - 13 BLUE,13 RED - 13 BLUE,-17.866666666666667,-6.133333333333334,28.766666666666666
336,13 RED - 13 BLUE,13 BLUE - 13 RED,-17.866666666666667,-4.266666666666667,19.9
334,13 RED - 12 BLUE,12 BLUE - 13 RED,-17.4,-2.6666666666666665,19.866666666666667
335,13 RED - 12 BLUE,13 RED - 12 BLUE,-18.1,-6.266666666666667,26.8
332,13 RED - 11 BLUE,11 BLUE - 13 RED,-16.433333333333334,0.0,15.533333333333333
333,13 RED - 11 BLUE,13 RED - 11 BLUE,-17.9,-7.2,22.466666666666665
330,13 RED - 10 BLUE,10 BLUE - 13 RED,-15.433333333333334,3.2,11.433333333333334
331,13 RED - 10 BLUE,13 RED - 10 BLUE,-17.666666666666668,-6.533333333333333,17.566666666666666
354,13 RED - 9 BLUE,13 RED - 9 BLUE,-17.6,-5.733333333333333,16.433333333333334
355,13 RED - 9 BLUE,9 BLUE - 13 RED,-15.233333333333333,3.7333333333333334,9.266666666666667
352,13 RED - 8 BLUE,13 RED - 8 BLUE,-17.533333333333335,-4.933333333333334,13.3
353,13 RED - 8 BLUE,8 BLUE - 13 RED,-14.833333333333334,3.7333333333333334,6.966666666666667
351,13 RED - 7 BLUE,7 BLUE - 13 RED,-13.366666666666667,6.666666666666667,5.8
350,13 RED - 7 BLUE,13 RED - 7 BLUE,-16.966666666666665,-4.133333333333334,12.0
346,13 RED - 6 BLUE,13 RED - 6 BLUE,-17.3,-4.666666666666667,8.666666666666666
347,13 RED - 6 BLUE,6 BLUE - 13 RED,-13.633333333333333,9.6,2.7333333333333334
344,13 RED - 5 BLUE,13 RED - 5 BLUE,-16.133333333333333,-3.3333333333333335,3.7666666666666666
345,13 RED - 5 BLUE,5 BLUE - 13 RED,-11.9,10.4,-0.5666666666666667
343,13 RED - 4 BLUE,4 BLUE - 13 RED,-12.4,11.466666666666667,-1.7
342,13 RED - 4 BLUE,13 RED - 4 BLUE,-16.833333333333332,-2.533333333333333,4.133333333333334
341,13 RED - 3 BLUE,3 BLUE - 13 RED,-12.4,12.266666666666667,-0.8
340,13 RED - 3 BLUE,13 RED - 3 BLUE,-17.0,-3.8666666666666667,3.7
338,13 RED - 2 BLUE,13 RED - 2 BLUE,-16.833333333333332,-3.3333333333333335,1.1
339,13 RED - 2 BLUE,2 BLUE - 13 RED,-11.7,16.0,-2.066666666666667
329,13 RED - 1 BLUE,13 RED - 1 BLUE,-15.933333333333334,1.0666666666666667,-2.8
328,13 RED - 1 BLUE,1 BLUE - 13 RED,-10.2,18.0,-6.8
868,Jester - 13 RED,13 RED - Jester,-10.0,23.066666666666666,-11.733333333333333
869,Jester - 13 RED,Jester - 13 RED,-9.7,22.4,-11.9
250,12 RED - 11 RED,11 RED - 12 RED,-18.1,-3.2,30.9
251,12 RED - 11 RED,12 RED - 11 RED,-18.1,-3.2,30.9
246,12 RED - 10 RED,10 RED - 12 RED,-17.633333333333333,-1.4666666666666666,28.2
247,12 RED - 10 RED,12 RED - 10 RED,-17.9,-2.4,29.566666666666666
288,12 RED - 9 RED,12 RED - 9 RED,-17.933333333333334,-2.0,29.1
289,12 RED - 9 RED,9 RED - 12 RED,-17.5,-0.8,27.4
284,12 RED - 8 RED,12 RED - 8 RED,-17.866666666666667,-2.0,29.466666666666665
285,12 RED - 8 RED,8 RED - 12 RED,-17.166666666666668,0.26666666666666666,25.833333333333332
281,12 RED - 7 RED,7 RED - 12 RED,-17.166666666666668,-0.4,27.033333333333335
280,12 RED - 7 RED,12 RED - 7 RED,-18.4,-3.7333333333333334,31.633333333333333
277,12 RED - 6 RED,6 RED - 12 RED,-17.033333333333335,0.5333333333333333,25.533333333333335
276,12 RED - 6 RED,12 RED - 6 RED,-18.266666666666666,-3.2,30.8
272,12 RED - 5 RED,12 RED - 5 RED,-17.866666666666667,-1.8666666666666667,28.566666666666666
273,12 RED - 5 RED,5 RED - 12 RED,-16.4,2.6666666666666665,22.1
268,12 RED - 4 RED,12 RED - 4 RED,-18.133333333333333,-3.2,30.766666666666666
269,12 RED - 4 RED,4 RED - 12 RED,-16.633333333333333,1.2,24.066666666666666
264,12 RED - 3 RED,12 RED - 3 RED,-18.3,-3.466666666666667,31.266666666666666
265,12 RED - 3 RED,3 RED - 12 RED,-16.733333333333334,1.2,24.233333333333334
260,12 RED - 2 RED,12 RED - 2 RED,-18.033333333333335,-2.533333333333333,29.9
261,12 RED - 2 RED,2 RED - 12 RED,-15.9,3.7333333333333334,21.066666666666666
242,12 RED - 1 RED,1 RED - 12 RED,-15.7,5.6,18.7
243,12 RED - 1 RED,12 RED - 1 RED,-17.733333333333334,-2.1333333333333333,28.966666666666665
255,12 RED - 13 BLUE,13 BLUE - 12 RED,-17.7,-2.8,19.933333333333334
254,12 RED - 13 BLUE,12 RED - 13 BLUE,-17.2,-6.266666666666667,27.733333333333334
252,12 RED - 12 BLUE,12 BLUE - 12 RED,-17.466666666666665,-3.066666666666667,18.733333333333334
253,12 RED - 12 BLUE,12 RED - 12 BLUE,-17.366666666666667,-7.333333333333333,26.0
248,12 RED - 11 BLUE,11 BLUE - 12 RED,-15.9,1.3333333333333333,14.666666666666666
249,12 RED - 11 BLUE,12 RED - 11 BLUE,-16.7,-6.533333333333333,20.066666666666666
244,12 RED - 10 BLUE,10 BLUE - 12 RED,-15.5,3.3333333333333335,11.333333333333334
245,12 RED - 10 BLUE,12 RED - 10 BLUE,-16.833333333333332,-5.066666666666666,18.066666666666666
286,12 RED - 9 BLUE,12 RED - 9 BLUE,-16.366666666666667,-5.6,14.7
287,12 RED - 9 BLUE,9 BLUE - 12 RED,-14.7,3.6,9.333333333333334
282,12 RED - 8 BLUE,12 RED - 8 BLUE,-17.2,-5.066666666666666,12.733333333333333
283,12 RED - 8 BLUE,8 BLUE - 12 RED,-14.5,4.933333333333334,6.3
278,12 RED - 7 BLUE,12 RED - 7 BLUE,-16.966666666666665,-3.7333333333333334,10.066666666666666
279,12 RED - 7 BLUE,7 BLUE - 12 RED,-13.633333333333333,6.0,4.666666666666667
274,12 RED - 6 BLUE,12 RED - 6 BLUE,-16.533333333333335,-3.8666666666666667,6.633333333333334
275,12 RED - 6 BLUE,6 BLUE - 12 RED,-12.766666666666667,8.933333333333334,2.466666666666667
270,12 RED - 5 BLUE,12 RED - 5 BLUE,-16.266666666666666,-3.066666666666667,3.966666666666667
271,12 RED - 5 BLUE,5 BLUE - 12 RED,-12.133333333333333,10.666666666666666,-1.0666666666666667
266,12 RED - 4 BLUE,12 RED - 4 BLUE,-16.433333333333334,-4.0,4.266666666666667
267,12 RED - 4 BLUE,4 BLUE - 12 RED,-12.6,11.866666666666667,-0.1
262,12 RED - 3 BLUE,12 RED - 3 BLUE,-15.7,-2.8,-0.03333333333333333
263,12 RED - 3 BLUE,3 BLUE - 12 RED,-10.9,13.733333333333333,-4.566666666666666
258,12 RED - 2 BLUE,12 RED - 2 BLUE,-15.433333333333334,-2.6666666666666665,-0.5
259,12 RED - 2 BLUE,2 BLUE - 12 RED,-11.233333333333333,14.533333333333333,-4.6
240,12 RED - 1 BLUE,1 BLUE - 12 RED,-10.333333333333334,18.4,-6.433333333333334
241,12 RED - 1 BLUE,12 RED - 1 BLUE,-15.1,-0.6666666666666666,-3.7
291,12 RED - Jester,Jester - 12 RED,-9.9,23.6,-11.6
290,12 RED - Jester,12 RED - Jester,-9.0,23.866666666666667,-11.533333333333333
