,tested_combination,combination_played_order,score_prediction_0,score_prediction_1,score_prediction_2
254,13 BLUE - 4 GREEN,13 BLUE - 4 GREEN,-4.0,22.0,-12.0
255,13 BLUE - 4 GREEN,4 GREEN - 13 BLUE,-4.0,6.0,-16.0
256,13 BLUE - 5 GREEN,13 BLUE - 5 GREEN,-6.0,6.0,-4.0
257,13 BLUE - 5 GREEN,5 GREEN - 13 BLUE,0.0,6.0,-4.0
258,13 BLUE - 6 GREEN,13 BLUE - 6 GREEN,-16.0,6.0,10.0
259,13 BLUE - 6 GREEN,6 GREEN - 13 BLUE,-8.0,6.0,8.0
260,13 BLUE - 7 GREEN,13 BLUE - 7 GREEN,-14.0,-10.0,-16.0
261,13 BLUE - 7 GREEN,7 GREEN - 13 BLUE,8.0,-10.0,-20.0
262,13 BLUE - 8 GREEN,13 BLUE - 8 GREEN,-6.0,14.0,-2.0
263,13 BLUE - 8 GREEN,8 GREEN - 13 BLUE,-6.0,6.0,-4.0
264,13 BLUE - 9 GREEN,13 BLUE - 9 GREEN,-14.0,-2.0,6.0
265,13 BLUE - 9 GREEN,9 GREEN - 13 BLUE,-14.0,-2.0,6.0
266,13 RED - 1 BLUE,1 BLUE - 13 RED,-2.0,-10.0,4.0
267,13 RED - 1 BLUE,13 RED - 1 BLUE,-8.0,-10.0,4.0
268,13 RED - 1 RED,1 RED - 13 RED,-12.0,22.0,0.0
269,13 RED - 1 RED,13 RED - 1 RED,-18.0,-2.0,30.0
270,13 RED - 10 BLUE,10 BLUE - 13 RED,-18.0,-2.0,20.0
271,13 RED - 10 BLUE,13 RED - 10 BLUE,-20.0,-10.0,30.0
272,13 RED - 10 RED,10 RED - 13 RED,-18.0,-2.0,30.0
273,13 RED - 10 RED,13 RED - 10 RED,-18.0,-2.0,30.0
274,13 RED - 11 BLUE,11 BLUE - 13 RED,-16.0,6.0,20.0
275,13 RED - 11 BLUE,13 RED - 11 BLUE,-16.0,-2.0,18.0
276,13 RED - 11 RED,11 RED - 13 RED,-20.0,-10.0,40.0
277,13 RED - 11 RED,13 RED - 11 RED,-20.0,-10.0,40.0
278,13 RED - 12 BLUE,12 BLUE - 13 RED,-20.0,-10.0,20.0
279,13 RED - 12 BLUE,13 RED - 12 BLUE,-20.0,-10.0,40.0
280,13 RED - 12 RED,12 RED - 13 RED,-18.0,-2.0,30.0
281,13 RED - 12 RED,13 RED - 12 RED,-18.0,-2.0,30.0
282,13 RED - 13 BLUE,13 BLUE - 13 RED,-18.0,-10.0,18.0
283,13 RED - 13 BLUE,13 RED - 13 BLUE,-18.0,-10.0,28.0
284,13 RED - 2 BLUE,13 RED - 2 BLUE,-16.0,-10.0,16.0
285,13 RED - 2 BLUE,2 BLUE - 13 RED,-10.0,-10.0,-4.0
286,13 RED - 2 RED,13 RED - 2 RED,-18.0,-2.0,30.0
287,13 RED - 2 RED,2 RED - 13 RED,-16.0,6.0,20.0
288,13 RED - 3 BLUE,13 RED - 3 BLUE,-20.0,-10.0,10.0
289,13 RED - 3 BLUE,3 BLUE - 13 RED,-14.0,14.0,0.0
290,13 RED - 3 RED,13 RED - 3 RED,-18.0,-2.0,30.0
291,13 RED - 3 RED,3 RED - 13 RED,-18.0,-2.0,30.0
292,13 RED - 4 BLUE,13 RED - 4 BLUE,-18.0,-2.0,0.0
293,13 RED - 4 BLUE,4 BLUE - 13 RED,-12.0,22.0,0.0
294,13 RED - 4 RED,13 RED - 4 RED,-18.0,-2.0,30.0
295,13 RED - 4 RED,4 RED - 13 RED,-18.0,-2.0,30.0
296,13 RED - 5 BLUE,13 RED - 5 BLUE,-16.0,-2.0,-2.0
297,13 RED - 5 BLUE,5 BLUE - 13 RED,-12.0,22.0,0.0
298,13 RED - 5 RED,13 RED - 5 RED,-18.0,-2.0,30.0
299,13 RED - 5 RED,5 RED - 13 RED,-16.0,6.0,20.0
300,13 RED - 6 BLUE,13 RED - 6 BLUE,-18.0,-10.0,8.0
301,13 RED - 6 BLUE,6 BLUE - 13 RED,-10.0,-2.0,-2.0
302,13 RED - 6 RED,13 RED - 6 RED,-18.0,-10.0,28.0
303,13 RED - 6 RED,6 RED - 13 RED,-16.0,-2.0,18.0
304,13 RED - 7 BLUE,13 RED - 7 BLUE,-16.0,-2.0,8.0
305,13 RED - 7 BLUE,7 BLUE - 13 RED,-14.0,-2.0,6.0
306,13 RED - 7 RED,13 RED - 7 RED,-18.0,-2.0,30.0
307,13 RED - 7 RED,7 RED - 13 RED,-18.0,-2.0,30.0
308,13 RED - 8 BLUE,13 RED - 8 BLUE,-16.0,-2.0,8.0
309,13 RED - 8 BLUE,8 BLUE - 13 RED,-14.0,14.0,10.0
310,13 RED - 8 RED,13 RED - 8 RED,-18.0,-2.0,30.0
311,13 RED - 8 RED,8 RED - 13 RED,-18.0,-2.0,30.0
312,13 RED - 9 BLUE,13 RED - 9 BLUE,-16.0,-10.0,16.0
313,13 RED - 9 BLUE,9 BLUE - 13 RED,-10.0,-2.0,8.0
314,13 RED - 9 RED,13 RED - 9 RED,-18.0,-2.0,30.0
315,13 RED - 9 RED,9 RED - 13 RED,-18.0,-2.0,30.0
316,13 RED - Jester,13 RED - Jester,-10.0,22.0,-12.0
317,13 RED - Jester,Jester - 13 RED,-10.0,22.0,-12.0
318,13 RED - Magician,13 RED - Magician,-20.0,-10.0,40.0
319,13 RED - Magician,Magician - 13 RED,-20.0,-10.0,40.0
320,2 BLUE - 1 BLUE,1 BLUE - 2 BLUE,6.0,-2.0,-6.0
321,2 BLUE - 1 BLUE,2 BLUE - 1 BLUE,6.0,-2.0,-6.0
322,2 BLUE - 1 GREEN,1 GREEN - 2 BLUE,14.0,-10.0,-20.0
323,2 BLUE - 1 GREEN,2 BLUE - 1 GREEN,8.0,-10.0,-20.0
