,tested_combination,combination_played_order,score_prediction_0,score_prediction_1,score_prediction_2
572,5 RED - 13 RED,13 RED - 5 RED,-18.0,-2.0,30.0
569,5 RED - 12 RED,5 RED - 12 RED,-18.0,-10.0,28.0
568,5 RED - 12 RED,12 RED - 5 RED,-18.0,-10.0,28.0
562,5 RED - 10 RED,10 RED - 5 RED,-18.0,-2.0,30.0
563,5 RED - 10 RED,5 RED - 10 RED,-16.0,6.0,20.0
603,5 RED - 9 RED,9 RED - 5 RED,-14.0,14.0,10.0
602,5 RED - 9 RED,5 RED - 9 RED,-12.0,22.0,0.0
599,5 RED - 8 RED,8 RED - 5 RED,-20.0,-10.0,40.0
598,5 RED - 8 RED,5 RED - 8 RED,-20.0,-10.0,40.0
595,5 RED - 7 RED,7 RED - 5 RED,-14.0,14.0,10.0
594,5 RED - 7 RED,5 RED - 7 RED,-14.0,14.0,10.0
591,5 RED - 6 RED,6 RED - 5 RED,-16.0,-2.0,18.0
590,5 RED - 6 RED,5 RED - 6 RED,-16.0,-2.0,18.0
585,5 RED - 4 RED,5 RED - 4 RED,-16.0,6.0,20.0
584,5 RED - 4 RED,4 RED - 5 RED,-16.0,6.0,20.0
581,5 RED - 3 RED,5 RED - 3 RED,-18.0,-10.0,28.0
580,5 RED - 3 RED,3 RED - 5 RED,-18.0,-10.0,28.0
576,5 RED - 2 RED,2 RED - 5 RED,-20.0,-10.0,40.0
577,5 RED - 2 RED,5 RED - 2 RED,-20.0,-10.0,40.0
558,5 RED - 1 RED,1 RED - 5 RED,-18.0,-2.0,30.0
559,5 RED - 1 RED,5 RED - 1 RED,-18.0,-2.0,30.0
571,5 RED - 13 BLUE,5 RED - 13 BLUE,4.0,-10.0,4.0
570,5 RED - 13 BLUE,13 BLUE - 5 RED,-14.0,6.0,8.0
567,5 RED - 12 BLUE,5 RED - 12 BLUE,-18.0,-10.0,18.0
566,5 RED - 12 BLUE,12 BLUE - 5 RED,-16.0,6.0,10.0
565,5 RED - 11 BLUE,5 RED - 11 BLUE,-18.0,-10.0,28.0
564,5 RED - 11 BLUE,11 BLUE - 5 RED,-12.0,-10.0,28.0
560,5 RED - 10 BLUE,10 BLUE - 5 RED,-6.0,6.0,-4.0
561,5 RED - 10 BLUE,5 RED - 10 BLUE,0.0,-10.0,-8.0
601,5 RED - 9 BLUE,9 BLUE - 5 RED,-14.0,6.0,8.0
600,5 RED - 9 BLUE,5 RED - 9 BLUE,-2.0,-10.0,4.0
596,5 RED - 8 BLUE,5 RED - 8 BLUE,-10.0,-2.0,18.0
597,5 RED - 8 BLUE,8 BLUE - 5 RED,-16.0,-2.0,18.0
593,5 RED - 7 BLUE,7 BLUE - 5 RED,-12.0,6.0,-14.0
592,5 RED - 7 BLUE,5 RED - 7 BLUE,-10.0,-10.0,-14.0
588,5 RED - 6 BLUE,5 RED - 6 BLUE,-8.0,-10.0,-6.0
589,5 RED - 6 BLUE,6 BLUE - 5 RED,-12.0,14.0,-2.0
587,5 RED - 5 BLUE,5 RED - 5 BLUE,-4.0,-10.0,-4.0
586,5 RED - 5 BLUE,5 BLUE - 5 RED,-12.0,14.0,-2.0
582,5 RED - 4 BLUE,4 BLUE - 5 RED,-12.0,22.0,-10.0
583,5 RED - 4 BLUE,5 RED - 4 BLUE,-18.0,-2.0,0.0
578,5 RED - 3 BLUE,3 BLUE - 5 RED,-12.0,14.0,-12.0
579,5 RED - 3 BLUE,5 RED - 3 BLUE,-10.0,-2.0,-2.0
575,5 RED - 2 BLUE,5 RED - 2 BLUE,-20.0,-10.0,0.0
574,5 RED - 2 BLUE,2 BLUE - 5 RED,-12.0,22.0,0.0
557,5 RED - 1 BLUE,5 RED - 1 BLUE,-2.0,-2.0,-4.0
556,5 RED - 1 BLUE,1 BLUE - 5 RED,-12.0,6.0,-4.0
605,5 RED - Jester,Jester - 5 RED,-10.0,14.0,-14.0
604,5 RED - Jester,5 RED - Jester,2.0,14.0,-14.0
516,4 RED - 13 RED,13 RED - 4 RED,-16.0,6.0,20.0
517,4 RED - 13 RED,4 RED - 13 RED,-14.0,14.0,10.0
541,4 RED - 9 RED,9 RED - 4 RED,-18.0,-2.0,30.0
540,4 RED - 9 RED,4 RED - 9 RED,-16.0,6.0,20.0
537,4 RED - 8 RED,8 RED - 4 RED,-14.0,14.0,10.0
536,4 RED - 8 RED,4 RED - 8 RED,-14.0,14.0,10.0
532,4 RED - 7 RED,4 RED - 7 RED,-16.0,6.0,20.0
533,4 RED - 7 RED,7 RED - 4 RED,-18.0,-2.0,30.0
521,4 RED - 2 RED,4 RED - 2 RED,-12.0,22.0,0.0
