tested_combination,combination_played_order,score_prediction_0,score_prediction_1,score_prediction_2
11 BLUE - 9 GREEN,11 BLUE - 9 GREEN,-3.31,-6.8,-13.73
11 BLUE - 8 GREEN,11 BLUE - 8 GREEN,-1.76,-7.04,-14.88
11 BLUE - 7 GREEN,11 BLUE - 7 GREEN,1.01,-6.56,-16.32
11 BLUE - 6 GREEN,11 BLUE - 6 GREEN,0.49,-7.0,-16.42
11 BLUE - 5 GREEN,11 BLUE - 5 GREEN,1.44,-6.52,-17.11
11 BLUE - 4 GREEN,11 BLUE - 4 GREEN,3.15,-6.44,-17.25
11 BLUE - 3 GREEN,11 BLUE - 3 GREEN,3.01,-6.6,-17.57
11 BLUE - 2 GREEN,11 BLUE - 2 GREEN,3.95,-6.84,-18.3
11 BLUE - 1 GREEN,11 BLUE - 1 GREEN,4.89,-6.48,-18.38
11 BLUE - Jester,11 BLUE - Jester,7.73,-8.96,-19.74
10 BLUE - 9 BLUE,10 BLUE - 9 BLUE,7.41,-8.08,-17.7
10 BLUE - 8 BLUE,10 BLUE - 8 BLUE,6.22,-8.4,-17.79
10 BLUE - 7 BLUE,10 BLUE - 7 BLUE,7.3,-8.88,-18.09
10 BLUE - 6 BLUE,10 BLUE - 6 BLUE,6.33,-8.52,-18.71
10 BLUE - 5 BLUE,10 BLUE - 5 BLUE,7.45,-9.28,-19.22
10 BLUE - 4 BLUE,10 BLUE - 4 BLUE,7.95,-9.24,-19.25
10 BLUE - 3 BLUE,10 BLUE - 3 BLUE,8.76,-9.36,-19.64
10 BLUE - 2 BLUE,10 BLUE - 2 BLUE,8.26,-9.12,-19.6
10 BLUE - 1 BLUE,10 BLUE - 1 BLUE,7.99,-9.28,-19.82
10 BLUE - 10 GREEN,10 BLUE - 10 GREEN,-2.97,-6.68,-14.02
10 BLUE - 9 GREEN,10 BLUE - 9 GREEN,-2.17,-6.8,-14.2
10 BLUE - 8 GREEN,10 BLUE - 8 GREEN,-0.73,-7.24,-15.61
10 BLUE - 7 GREEN,10 BLUE - 7 GREEN,1.4,-7.4,-15.68
10 BLUE - 6 GREEN,10 BLUE - 6 GREEN,1.24,-7.44,-17.4
10 BLUE - 5 GREEN,10 BLUE - 5 GREEN,3.49,-7.32,-17.32
10 BLUE - 4 GREEN,10 BLUE - 4 GREEN,3.12,-7.32,-18.23
10 BLUE - 3 GREEN,10 BLUE - 3 GREEN,4.38,-7.6,-18.0
10 BLUE - 2 GREEN,10 BLUE - 2 GREEN,6.54,-7.76,-18.08
10 BLUE - 1 GREEN,10 BLUE - 1 GREEN,8.06,-7.4,-19.1
10 BLUE - Jester,10 BLUE - Jester,8.99,-9.32,-19.83
9 BLUE - 8 BLUE,9 BLUE - 8 BLUE,7.92,-7.76,-17.88
9 BLUE - 7 BLUE,9 BLUE - 7 BLUE,8.57,-8.72,-18.6
9 BLUE - 6 BLUE,9 BLUE - 6 BLUE,7.78,-9.12,-18.84
9 BLUE - 5 BLUE,9 BLUE - 5 BLUE,9.01,-9.16,-19.2
9 BLUE - 4 BLUE,9 BLUE - 4 BLUE,8.79,-9.12,-19.35
9 BLUE - 3 BLUE,9 BLUE - 3 BLUE,10.41,-9.6,-19.69
9 BLUE - 2 BLUE,9 BLUE - 2 BLUE,9.05,-9.52,-19.78
9 BLUE - 1 BLUE,9 BLUE - 1 BLUE,9.89,-9.76,-19.94
9 BLUE - 9 GREEN,9 BLUE - 9 GREEN,0.67,-7.44,-16.15
9 BLUE - 8 GREEN,9 BLUE - 8 GREEN,1.25,-7.4,-15.84
9 BLUE - 7 GREEN,9 BLUE - 7 GREEN,1.69,-7.24,-16.49
9 BLUE - 6 GREEN,9 BLUE - 6 GREEN,3.85,-7.36,-17.31
9 BLUE - 5 GREEN,9 BLUE - 5 GREEN,4.9,-8.16,-18.02
9 BLUE - 4 GREEN,9 BLUE - 4 GREEN,5.71,-7.6,-17.91
9 BLUE - 3 GREEN,9 BLUE - 3 GREEN,6.88,-7.76,-18.46
9 BLUE - 2 GREEN,9 BLUE - 2 GREEN,7.36,-7.88,-18.84
9 BLUE - 1 GREEN,9 BLUE - 1 GREEN,9.05,-7.44,-19.02
9 BLUE - Jester,9 BLUE - Jester,10.82,-9.52,-19.88
8 BLUE - 7 BLUE,8 BLUE - 7 BLUE,9.94,-9.12,-18.3
8 BLUE - 6 BLUE,8 BLUE - 6 BLUE,10.05,-8.36,-18.63
8 BLUE - 5 BLUE,8 BLUE - 5 BLUE,10.39,-9.08,-19.31
8 BLUE - 4 BLUE,8 BLUE - 4 BLUE,10.7,-9.48,-19.32
8 BLUE - 3 BLUE,8 BLUE - 3 BLUE,10.36,-9.52,-19.67
8 BLUE - 2 BLUE,8 BLUE - 2 BLUE,10.85,-9.8,-19.82
8 BLUE - 1 BLUE,8 BLUE - 1 BLUE,11.3,-9.72,-19.93
8 BLUE - 8 GREEN,8 BLUE - 8 GREEN,1.57,-7.44,-16.2
8 BLUE - 7 GREEN,8 BLUE - 7 GREEN,2.7,-7.88,-17.52
8 BLUE - 6 GREEN,8 BLUE - 6 GREEN,4.09,-7.52,-17.86
8 BLUE - 5 GREEN,8 BLUE - 5 GREEN,5.76,-8.44,-18.05
8 BLUE - 4 GREEN,8 BLUE - 4 GREEN,5.83,-7.44,-18.9
8 BLUE - 3 GREEN,8 BLUE - 3 GREEN,8.18,-7.84,-19.07
8 BLUE - 2 GREEN,8 BLUE - 2 GREEN,8.97,-8.08,-19.08
8 BLUE - 1 GREEN,8 BLUE - 1 GREEN,10.64,-8.4,-19.25
8 BLUE - Jester,8 BLUE - Jester,11.66,-9.32,-19.83
7 BLUE - 6 BLUE,7 BLUE - 6 BLUE,11.38,-8.36,-18.42
7 BLUE - 5 BLUE,7 BLUE - 5 BLUE,11.76,-8.76,-19.27
7 BLUE - 4 BLUE,7 BLUE - 4 BLUE,12.07,-9.44,-19.42
7 BLUE - 3 BLUE,7 BLUE - 3 BLUE,11.87,-9.56,-19.67
7 BLUE - 2 BLUE,7 BLUE - 2 BLUE,13.37,-9.48,-19.79
7 BLUE - 1 BLUE,7 BLUE - 1 BLUE,12.63,-9.76,-19.94
7 BLUE - 7 GREEN,7 BLUE - 7 GREEN,4.04,-7.64,-17.9
7 BLUE - 6 GREEN,7 BLUE - 6 GREEN,5.61,-8.04,-18.38
7 BLUE - 5 GREEN,7 BLUE - 5 GREEN,7.3,-7.72,-18.51
7 BLUE - 4 GREEN,7 BLUE - 4 GREEN,7.57,-8.04,-18.7
7 BLUE - 3 GREEN,7 BLUE - 3 GREEN,9.03,-8.0,-18.76
7 BLUE - 2 GREEN,7 BLUE - 2 GREEN,9.92,-8.04,-19.21
7 BLUE - 1 GREEN,7 BLUE - 1 GREEN,11.08,-8.68,-19.51
7 BLUE - Jester,7 BLUE - Jester,12.98,-9.72,-19.93
6 BLUE - 5 BLUE,6 BLUE - 5 BLUE,12.93,-9.04,-19.16
6 BLUE - 4 BLUE,6 BLUE - 4 BLUE,13.24,-9.2,-19.35
6 BLUE - 3 BLUE,6 BLUE - 3 BLUE,14.74,-9.68,-19.79
6 BLUE - 2 BLUE,6 BLUE - 2 BLUE,13.24,-9.6,-19.8
6 BLUE - 1 BLUE,6 BLUE - 1 BLUE,14.49,-9.88,-19.97
6 BLUE - 6 GREEN,6 BLUE - 6 GREEN,7.97,-7.8,-18.86
6 BLUE - 5 GREEN,6 BLUE - 5 GREEN,8.19,-8.68,-18.55
6 BLUE - 4 GREEN,6 BLUE - 4 GREEN,9.54,-8.6,-18.98
6 BLUE - 3 GREEN,6 BLUE - 3 GREEN,9.92,-8.32,-19.13
6 BLUE - 2 GREEN,6 BLUE - 2 GREEN,12.94,-9.12,-19.27
6 BLUE - 1 GREEN,6 BLUE - 1 GREEN,12.41,-9.08,-19.58
6 BLUE - Jester,6 BLUE - Jester,14.33,-9.92,-19.98
5 BLUE - 4 BLUE,5 BLUE - 4 BLUE,14.87,-9.32,-19.55
5 BLUE - 3 BLUE,5 BLUE - 3 BLUE,15.38,-9.56,-19.66
5 BLUE - 2 BLUE,5 BLUE - 2 BLUE,15.73,-9.76,-19.88
5 BLUE - 1 BLUE,5 BLUE - 1 BLUE,15.94,-9.88,-19.97
5 BLUE - 5 GREEN,5 BLUE - 5 GREEN,8.66,-8.52,-19.34
5 BLUE - 4 GREEN,5 BLUE - 4 GREEN,10.62,-8.92,-19.58
5 BLUE - 3 GREEN,5 BLUE - 3 GREEN,12.03,-8.8,-19.34
5 BLUE - 2 GREEN,5 BLUE - 2 GREEN,14.21,-9.36,-19.59
5 BLUE - 1 GREEN,5 BLUE - 1 GREEN,15.4,-9.2,-19.72
5 BLUE - Jester,5 BLUE - Jester,15.83,-9.96,-19.99
4 BLUE - 3 BLUE,4 BLUE - 3 BLUE,16.22,-9.48,-19.62
4 BLUE - 2 BLUE,4 BLUE - 2 BLUE,16.5,-9.76,-19.85
4 BLUE - 1 BLUE,4 BLUE - 1 BLUE,16.54,-10.0,-20.0
4 BLUE - 4 GREEN,4 BLUE - 4 GREEN,12.21,-8.72,-19.39
4 BLUE - 3 GREEN,4 BLUE - 3 GREEN,13.1,-9.08,-19.68
4 BLUE - 2 GREEN,4 BLUE - 2 GREEN,14.42,-9.2,-19.7
4 BLUE - 1 GREEN,4 BLUE - 1 GREEN,16.0,-9.4,-19.85
4 BLUE - Jester,4 BLUE - Jester,16.58,-10.0,-20.0
3 BLUE - 2 BLUE,3 BLUE - 2 BLUE,18.09,-9.76,-19.89
3 BLUE - 1 BLUE,3 BLUE - 1 BLUE,18.11,-10.0,-20.0
3 BLUE - 3 GREEN,3 BLUE - 3 GREEN,15.55,-9.28,-19.69
3 BLUE - 2 GREEN,3 BLUE - 2 GREEN,15.17,-9.6,-19.82
3 BLUE - 1 GREEN,3 BLUE - 1 GREEN,16.68,-9.52,-19.88
3 BLUE - Jester,3 BLUE - Jester,17.75,-10.0,-20.0
2 BLUE - 1 BLUE,2 BLUE - 1 BLUE,19.27,-10.0,-20.0
2 BLUE - 2 GREEN,2 BLUE - 2 GREEN,17.39,-9.84,-19.94
2 BLUE - 1 GREEN,2 BLUE - 1 GREEN,18.1,-9.84,-19.96
2 BLUE - Jester,2 BLUE - Jester,18.86,-10.0,-20.0
1 BLUE - 1 GREEN,1 BLUE - 1 GREEN,19.12,-10.0,-20.0
1 BLUE - Jester,1 BLUE - Jester,19.91,-10.0,-20.0
Jester - Jester,Jester - Jester,20.0,-10.0,-20.0
