,trial_number,tested_combination,combination_played_order,number_of_turns_won
0,0,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
1,0,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
2,0,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
3,0,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
4,0,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
5,0,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
6,0,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
7,0,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
8,1,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
9,1,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
10,1,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
11,1,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
12,1,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
13,1,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
14,1,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
15,1,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
16,0,Jester - Jester,Jester - Jester,"{0: 0, 1: 0, 2: 2}"
17,0,Jester - Jester,Jester - Jester,"{0: 0, 1: 0, 2: 2}"
18,0,Jester - Jester,Jester - Jester,"{0: 0, 1: 1, 2: 1}"
19,0,Jester - Jester,Jester - Jester,"{0: 0, 1: 1, 2: 1}"
20,0,Jester - Jester,Jester - Jester,"{0: 0, 1: 0, 2: 2}"
21,0,Jester - Jester,Jester - Jester,"{0: 0, 1: 0, 2: 2}"
22,0,Jester - Jester,Jester - Jester,"{0: 0, 1: 1, 2: 1}"
23,0,Jester - Jester,Jester - Jester,"{0: 0, 1: 1, 2: 1}"
24,1,Jester - Jester,Jester - Jester,"{0: 0, 1: 1, 2: 1}"
25,1,Jester - Jester,Jester - Jester,"{0: 0, 1: 0, 2: 2}"
26,1,Jester - Jester,Jester - Jester,"{0: 0, 1: 1, 2: 1}"
27,1,Jester - Jester,Jester - Jester,"{0: 0, 1: 0, 2: 2}"
28,1,Jester - Jester,Jester - Jester,"{0: 0, 1: 1, 2: 1}"
29,1,Jester - Jester,Jester - Jester,"{0: 0, 1: 0, 2: 2}"
30,1,Jester - Jester,Jester - Jester,"{0: 0, 1: 1, 2: 1}"
31,1,Jester - Jester,Jester - Jester,"{0: 0, 1: 0, 2: 2}"
32,0,8 RED - 10 RED,8 RED - 10 RED,"{0: 2, 1: 0, 2: 0}"
33,0,8 RED - 10 RED,8 RED - 10 RED,"{0: 2, 1: 0, 2: 0}"
34,0,8 RED - 10 RED,8 RED - 10 RED,"{0: 2, 1: 0, 2: 0}"
35,0,8 RED - 10 RED,8 RED - 10 RED,"{0: 2, 1: 0, 2: 0}"
36,0,8 RED - 10 RED,10 RED - 8 RED,"{0: 2, 1: 0, 2: 0}"
37,0,8 RED - 10 RED,10 RED - 8 RED,"{0: 2, 1: 0, 2: 0}"
38,0,8 RED - 10 RED,10 RED - 8 RED,"{0: 2, 1: 0, 2: 0}"
39,0,8 RED - 10 RED,10 RED - 8 RED,"{0: 2, 1: 0, 2: 0}"
40,1,8 RED - 10 RED,8 RED - 10 RED,"{0: 2, 1: 0, 2: 0}"
41,1,8 RED - 10 RED,8 RED - 10 RED,"{0: 2, 1: 0, 2: 0}"
42,1,8 RED - 10 RED,8 RED - 10 RED,"{0: 2, 1: 0, 2: 0}"
43,1,8 RED - 10 RED,8 RED - 10 RED,"{0: 2, 1: 0, 2: 0}"
44,1,8 RED - 10 RED,10 RED - 8 RED,"{0: 2, 1: 0, 2: 0}"
45,1,8 RED - 10 RED,10 RED - 8 RED,"{0: 2, 1: 0, 2: 0}"
46,1,8 RED - 10 RED,10 RED - 8 RED,"{0: 2, 1: 0, 2: 0}"
47,1,8 RED - 10 RED,10 RED - 8 RED,"{0: 2, 1: 0, 2: 0}"
48,0,8 RED - Jester,8 RED - Jester,"{0: 0, 1: 0, 2: 2}"
49,0,8 RED - Jester,8 RED - Jester,"{0: 0, 1: 0, 2: 2}"
50,0,8 RED - Jester,8 RED - Jester,"{0: 0, 1: 0, 2: 2}"
51,0,8 RED - Jester,8 RED - Jester,"{0: 0, 1: 0, 2: 2}"
52,0,8 RED - Jester,Jester - 8 RED,"{0: 1, 1: 0, 2: 1}"
53,0,8 RED - Jester,Jester - 8 RED,"{0: 0, 1: 1, 2: 1}"
54,0,8 RED - Jester,Jester - 8 RED,"{0: 1, 1: 0, 2: 1}"
55,0,8 RED - Jester,Jester - 8 RED,"{0: 1, 1: 0, 2: 1}"
56,1,8 RED - Jester,8 RED - Jester,"{0: 1, 1: 1, 2: 0}"
57,1,8 RED - Jester,8 RED - Jester,"{0: 1, 1: 1, 2: 0}"
58,1,8 RED - Jester,8 RED - Jester,"{0: 1, 1: 1, 2: 0}"
59,1,8 RED - Jester,8 RED - Jester,"{0: 1, 1: 1, 2: 0}"
60,1,8 RED - Jester,Jester - 8 RED,"{0: 1, 1: 1, 2: 0}"
61,1,8 RED - Jester,Jester - 8 RED,"{0: 1, 1: 1, 2: 0}"
62,1,8 RED - Jester,Jester - 8 RED,"{0: 1, 1: 1, 2: 0}"
63,1,8 RED - Jester,Jester - 8 RED,"{0: 1, 1: 1, 2: 0}"
64,0,8 RED - 3 RED,8 RED - 3 RED,"{0: 2, 1: 0, 2: 0}"
65,0,8 RED - 3 RED,8 RED - 3 RED,"{0: 2, 1: 0, 2: 0}"
66,0,8 RED - 3 RED,8 RED - 3 RED,"{0: 2, 1: 0, 2: 0}"
67,0,8 RED - 3 RED,8 RED - 3 RED,"{0: 2, 1: 0, 2: 0}"
68,0,8 RED - 3 RED,3 RED - 8 RED,"{0: 2, 1: 0, 2: 0}"
69,0,8 RED - 3 RED,3 RED - 8 RED,"{0: 2, 1: 0, 2: 0}"
70,0,8 RED - 3 RED,3 RED - 8 RED,"{0: 2, 1: 0, 2: 0}"
71,0,8 RED - 3 RED,3 RED - 8 RED,"{0: 2, 1: 0, 2: 0}"
72,1,8 RED - 3 RED,8 RED - 3 RED,"{0: 2, 1: 0, 2: 0}"
73,1,8 RED - 3 RED,8 RED - 3 RED,"{0: 2, 1: 0, 2: 0}"
74,1,8 RED - 3 RED,8 RED - 3 RED,"{0: 2, 1: 0, 2: 0}"
