,trial_number,tested_combination,combination_played_order,number_of_turns_won
0,0,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
1,0,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
2,0,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
3,0,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
4,0,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
5,0,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
6,0,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
7,0,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
8,1,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
9,1,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
10,1,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
11,1,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
12,1,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
13,1,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
14,1,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
15,1,Magician - Magician,Magician - Magician,"{0: 2, 1: 0, 2: 0}"
16,0,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
17,0,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
18,0,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
19,0,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
20,0,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
21,0,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
22,0,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
23,0,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
24,1,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
25,1,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
26,1,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
27,1,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
28,1,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
29,1,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
30,1,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
31,1,Jester - Jester,Jester - Jester,"{0: 0, 1: 2, 2: 0}"
32,0,Magician - 5 RED,Magician - 5 RED,"{0: 2, 1: 0, 2: 0}"
33,0,Magician - 5 RED,Magician - 5 RED,"{0: 2, 1: 0, 2: 0}"
34,0,Magician - 5 RED,Magician - 5 RED,"{0: 2, 1: 0, 2: 0}"
35,0,Magician - 5 RED,Magician - 5 RED,"{0: 2, 1: 0, 2: 0}"
36,0,Magician - 5 RED,5 RED - Magician,"{0: 2, 1: 0, 2: 0}"
37,0,Magician - 5 RED,5 RED - Magician,"{0: 2, 1: 0, 2: 0}"
38,0,Magician - 5 RED,5 RED - Magician,"{0: 2, 1: 0, 2: 0}"
39,0,Magician - 5 RED,5 RED - Magician,"{0: 2, 1: 0, 2: 0}"
40,1,Magician - 5 RED,Magician - 5 RED,"{0: 2, 1: 0, 2: 0}"
41,1,Magician - 5 RED,Magician - 5 RED,"{0: 2, 1: 0, 2: 0}"
42,1,Magician - 5 RED,Magician - 5 RED,"{0: 2, 1: 0, 2: 0}"
43,1,Magician - 5 RED,Magician - 5 RED,"{0: 2, 1: 0, 2: 0}"
44,1,Magician - 5 RED,5 RED - Magician,"{0: 2, 1: 0, 2: 0}"
45,1,Magician - 5 RED,5 RED - Magician,"{0: 2, 1: 0, 2: 0}"
46,1,Magician - 5 RED,5 RED - Magician,"{0: 2, 1: 0, 2: 0}"
47,1,Magician - 5 RED,5 RED - Magician,"{0: 2, 1: 0, 2: 0}"
48,0,Magician - Jester,Magician - Jester,"{0: 1, 1: 0, 2: 1}"
49,0,Magician - Jester,Magician - Jester,"{0: 1, 1: 1, 2: 0}"
50,0,Magician - Jester,Magician - Jester,"{0: 1, 1: 1, 2: 0}"
51,0,Magician - Jester,Magician - Jester,"{0: 1, 1: 1, 2: 0}"
52,0,Magician - Jester,Jester - Magician,"{0: 1, 1: 1, 2: 0}"
53,0,Magician - Jester,Jester - Magician,"{0: 1, 1: 1, 2: 0}"
54,0,Magician - Jester,Jester - Magician,"{0: 0, 1: 2, 2: 0}"
55,0,Magician - Jester,Jester - Magician,"{0: 1, 1: 0, 2: 1}"
56,1,Magician - Jester,Magician - Jester,"{0: 1, 1: 1, 2: 0}"
57,1,Magician - Jester,Magician - Jester,"{0: 1, 1: 1, 2: 0}"
58,1,Magician - Jester,Magician - Jester,"{0: 1, 1: 0, 2: 1}"
59,1,Magician - Jester,Magician - Jester,"{0: 1, 1: 1, 2: 0}"
60,1,Magician - Jester,Jester - Magician,"{0: 1, 1: 1, 2: 0}"
61,1,Magician - Jester,Jester - Magician,"{0: 1, 1: 0, 2: 1}"
62,1,Magician - Jester,Jester - Magician,"{0: 1, 1: 1, 2: 0}"
63,1,Magician - Jester,Jester - Magician,"{0: 1, 1: 1, 2: 0}"
64,0,Magician - 8 RED,Magician - 8 RED,"{0: 2, 1: 0, 2: 0}"
65,0,Magician - 8 RED,Magician - 8 RED,"{0: 2, 1: 0, 2: 0}"
66,0,Magician - 8 RED,Magician - 8 RED,"{0: 2, 1: 0, 2: 0}"
67,0,Magician - 8 RED,Magician - 8 RED,"{0: 2, 1: 0, 2: 0}"
68,0,Magician - 8 RED,8 RED - Magician,"{0: 2, 1: 0, 2: 0}"
69,0,Magician - 8 RED,8 RED - Magician,"{0: 2, 1: 0, 2: 0}"
70,0,Magician - 8 RED,8 RED - Magician,"{0: 2, 1: 0, 2: 0}"
71,0,Magician - 8 RED,8 RED - Magician,"{0: 2, 1: 0, 2: 0}"
72,1,Magician - 8 RED,Magician - 8 RED,"{0: 1, 1: 0, 2: 1}"
73,1,Magician - 8 RED,Magician - 8 RED,"{0: 2, 1: 0, 2: 0}"
74,1,Magician - 8 RED,Magician - 8 RED,"{0: 1, 1: 0, 2: 1}"
75,1,Magician - 8 RED,Magician - 8 RED,"{0: 2, 1: 0, 2: 0}"
76,1,Magician - 8 RED,8 RED - Magician,"{0: 1, 1: 0, 2: 1}"
