tested_combination,combination_played_order,score_prediction_0,score_prediction_1,score_prediction_2
12 RED - 5 BLUE,12 RED - 5 BLUE,-14.4,3.56,-10.04
12 RED - 4 BLUE,12 RED - 4 BLUE,-13.61,6.04,-10.19
12 RED - 3 BLUE,12 RED - 3 BLUE,-13.56,7.04,-10.29
12 RED - 2 BLUE,12 RED - 2 BLUE,-13.08,7.88,-11.18
12 RED - 1 BLUE,12 RED - 1 BLUE,-12.72,9.88,-11.36
12 RED - Jester,12 RED - Jester,-9.91,22.88,-11.78
11 RED - 10 RED,11 RED - 10 RED,-17.65,-1.4,28.59
11 RED - 9 RED,11 RED - 9 RED,-17.64,-1.56,27.52
11 RED - 8 RED,11 RED - 8 RED,-17.6,-1.68,26.08
11 RED - 7 RED,11 RED - 7 RED,-17.6,-1.84,24.54
11 RED - 6 RED,11 RED - 6 RED,-17.58,-1.88,23.23
11 RED - 5 RED,11 RED - 5 RED,-17.55,-2.24,22.56
11 RED - 4 RED,11 RED - 4 RED,-17.77,-2.64,22.25
11 RED - 3 RED,11 RED - 3 RED,-17.56,-1.64,21.49
11 RED - 2 RED,11 RED - 2 RED,-17.56,-2.52,21.26
11 RED - 1 RED,11 RED - 1 RED,-17.39,-2.16,19.76
11 RED - 13 BLUE,11 RED - 13 BLUE,-17.41,-6.72,-1.53
11 RED - 12 BLUE,11 RED - 12 BLUE,-16.96,-5.48,-1.45
11 RED - 11 BLUE,11 RED - 11 BLUE,-16.26,-4.48,-4.34
11 RED - 10 BLUE,11 RED - 10 BLUE,-16.24,-3.4,-5.55
11 RED - 9 BLUE,11 RED - 9 BLUE,-16.27,-2.84,-5.83
11 RED - 8 BLUE,11 RED - 8 BLUE,-15.07,-0.68,-7.74
11 RED - 7 BLUE,11 RED - 7 BLUE,-14.92,0.44,-7.6
11 RED - 6 BLUE,11 RED - 6 BLUE,-14.34,2.72,-8.97
11 RED - 5 BLUE,11 RED - 5 BLUE,-13.84,4.28,-10.06
11 RED - 4 BLUE,11 RED - 4 BLUE,-13.25,6.32,-10.77
11 RED - 3 BLUE,11 RED - 3 BLUE,-13.39,6.36,-11.37
11 RED - 2 BLUE,11 RED - 2 BLUE,-12.85,7.52,-11.57
11 RED - 1 BLUE,11 RED - 1 BLUE,-12.24,8.6,-11.71
11 RED - Jester,11 RED - Jester,-9.85,20.56,-12.36
10 RED - 9 RED,10 RED - 9 RED,-17.44,-0.56,27.54
10 RED - 8 RED,10 RED - 8 RED,-17.37,-0.84,26.66
10 RED - 7 RED,10 RED - 7 RED,-17.48,-1.32,25.35
10 RED - 6 RED,10 RED - 6 RED,-17.58,-1.96,24.72
10 RED - 5 RED,10 RED - 5 RED,-17.57,-2.4,23.82
10 RED - 4 RED,10 RED - 4 RED,-17.11,-1.0,21.65
10 RED - 3 RED,10 RED - 3 RED,-17.49,-2.36,21.83
10 RED - 2 RED,10 RED - 2 RED,-17.36,-1.56,20.24
10 RED - 1 RED,10 RED - 1 RED,-17.3,-1.6,19.15
10 RED - 13 BLUE,10 RED - 13 BLUE,-17.01,-6.56,-1.76
10 RED - 12 BLUE,10 RED - 12 BLUE,-16.69,-5.84,-1.49
10 RED - 11 BLUE,10 RED - 11 BLUE,-16.25,-4.8,-4.63
10 RED - 10 BLUE,10 RED - 10 BLUE,-15.8,-3.04,-5.84
10 RED - 9 BLUE,10 RED - 9 BLUE,-15.13,-0.88,-6.74
10 RED - 8 BLUE,10 RED - 8 BLUE,-14.85,-0.44,-8.21
10 RED - 7 BLUE,10 RED - 7 BLUE,-14.58,0.68,-8.82
10 RED - 6 BLUE,10 RED - 6 BLUE,-14.06,2.16,-9.61
10 RED - 5 BLUE,10 RED - 5 BLUE,-13.53,3.76,-9.7
10 RED - 4 BLUE,10 RED - 4 BLUE,-12.77,4.56,-10.82
10 RED - 3 BLUE,10 RED - 3 BLUE,-13.06,5.88,-11.14
10 RED - 2 BLUE,10 RED - 2 BLUE,-12.61,6.88,-11.68
10 RED - 1 BLUE,10 RED - 1 BLUE,-11.79,7.6,-11.96
10 RED - Jester,10 RED - Jester,-9.73,19.8,-12.55
9 RED - 8 RED,9 RED - 8 RED,-17.11,-0.72,27.14
9 RED - 7 RED,9 RED - 7 RED,-17.22,-0.52,25.82
9 RED - 6 RED,9 RED - 6 RED,-17.45,-1.4,25.65
9 RED - 5 RED,9 RED - 5 RED,-16.78,-0.16,22.32
9 RED - 4 RED,9 RED - 4 RED,-17.36,-1.48,23.69
9 RED - 3 RED,9 RED - 3 RED,-16.81,-0.32,20.76
9 RED - 2 RED,9 RED - 2 RED,-16.77,-0.68,20.46
9 RED - 1 RED,9 RED - 1 RED,-17.4,-2.32,21.31
9 RED - 13 BLUE,9 RED - 13 BLUE,-16.93,-6.76,-1.21
9 RED - 12 BLUE,9 RED - 12 BLUE,-16.4,-5.4,-4.02
9 RED - 11 BLUE,9 RED - 11 BLUE,-15.95,-4.64,-4.15
9 RED - 10 BLUE,9 RED - 10 BLUE,-15.43,-3.0,-5.98
9 RED - 9 BLUE,9 RED - 9 BLUE,-15.23,-2.28,-7.15
9 RED - 8 BLUE,9 RED - 8 BLUE,-15.24,-1.36,-7.88
9 RED - 7 BLUE,9 RED - 7 BLUE,-14.36,-0.12,-8.74
9 RED - 6 BLUE,9 RED - 6 BLUE,-13.86,1.48,-9.64
9 RED - 5 BLUE,9 RED - 5 BLUE,-13.12,1.92,-10.09
9 RED - 4 BLUE,9 RED - 4 BLUE,-12.93,4.56,-10.62
9 RED - 3 BLUE,9 RED - 3 BLUE,-12.55,5.12,-11.59
9 RED - 2 BLUE,9 RED - 2 BLUE,-12.01,6.16,-12.07
9 RED - 1 BLUE,9 RED - 1 BLUE,-12.06,8.32,-12.01
9 RED - Jester,9 RED - Jester,-9.79,19.04,-12.74
8 RED - 7 RED,8 RED - 7 RED,-17.15,0.16,26.34
8 RED - 6 RED,8 RED - 6 RED,-16.71,0.36,23.69
8 RED - 5 RED,8 RED - 5 RED,-16.94,0.28,23.15
8 RED - 4 RED,8 RED - 4 RED,-16.56,0.24,21.39
8 RED - 3 RED,8 RED - 3 RED,-16.49,0.12,19.81
8 RED - 2 RED,8 RED - 2 RED,-16.63,0.0,20.04
8 RED - 1 RED,8 RED - 1 RED,-16.75,-0.28,19.63
8 RED - 13 BLUE,8 RED - 13 BLUE,-16.23,-7.0,-2.16
8 RED - 12 BLUE,8 RED - 12 BLUE,-16.1,-5.64,-2.65
8 RED - 11 BLUE,8 RED - 11 BLUE,-15.75,-5.32,-4.32
8 RED - 10 BLUE,8 RED - 10 BLUE,-14.76,-2.84,-5.61
8 RED - 9 BLUE,8 RED - 9 BLUE,-14.75,-2.84,-7.36
8 RED - 8 BLUE,8 RED - 8 BLUE,-14.52,-0.76,-8.24
8 RED - 7 BLUE,8 RED - 7 BLUE,-13.59,0.48,-9.37
8 RED - 6 BLUE,8 RED - 6 BLUE,-13.38,1.04,-10.53
8 RED - 5 BLUE,8 RED - 5 BLUE,-13.31,2.24,-10.66
8 RED - 4 BLUE,8 RED - 4 BLUE,-12.65,4.28,-11.03
8 RED - 3 BLUE,8 RED - 3 BLUE,-12.2,4.68,-11.85
8 RED - 2 BLUE,8 RED - 2 BLUE,-12.01,7.48,-11.37
8 RED - 1 BLUE,8 RED - 1 BLUE,-11.67,7.28,-12.62
8 RED - Jester,8 RED - Jester,-9.52,18.0,-13.0
7 RED - 6 RED,7 RED - 6 RED,-16.05,0.8,23.86
7 RED - 5 RED,7 RED - 5 RED,-16.61,-0.24,24.34
7 RED - 4 RED,7 RED - 4 RED,-16.58,0.52,22.05
7 RED - 3 RED,7 RED - 3 RED,-16.53,-0.2,21.46
7 RED - 2 RED,7 RED - 2 RED,-16.56,-0.28,21.17
7 RED - 1 RED,7 RED - 1 RED,-16.35,-0.72,20.02
7 RED - 13 BLUE,7 RED - 13 BLUE,-16.28,-7.16,-2.31
7 RED - 12 BLUE,7 RED - 12 BLUE,-15.89,-6.08,-2.52
7 RED - 11 BLUE,7 RED - 11 BLUE,-15.18,-4.2,-5.25
7 RED - 10 BLUE,7 RED - 10 BLUE,-14.8,-3.28,-5.6
7 RED - 9 BLUE,7 RED - 9 BLUE,-14.43,-2.64,-7.53
7 RED - 8 BLUE,7 RED - 8 BLUE,-14.21,-1.6,-8.31
7 RED - 7 BLUE,7 RED - 7 BLUE,-13.83,-0.44,-9.25
7 RED - 6 BLUE,7 RED - 6 BLUE,-12.97,-0.16,-10.64
7 RED - 5 BLUE,7 RED - 5 BLUE,-12.64,2.48,-10.32
7 RED - 4 BLUE,7 RED - 4 BLUE,-12.76,2.96,-11.29
7 RED - 3 BLUE,7 RED - 3 BLUE,-11.44,5.32,-12.11
7 RED - 2 BLUE,7 RED - 2 BLUE,-11.86,5.76,-12.15
7 RED - 1 BLUE,7 RED - 1 BLUE,-11.34,7.04,-12.5
7 RED - Jester,7 RED - Jester,-9.58,16.96,-13.26
6 RED - 5 RED,6 RED - 5 RED,-15.98,2.6,22.27
6 RED - 4 RED,6 RED - 4 RED,-16.62,0.72,23.46
6 RED - 3 RED,6 RED - 3 RED,-16.02,0.88,19.84
6 RED - 2 RED,6 RED - 2 RED,-16.14,0.48,20.7
6 RED - 1 RED,6 RED - 1 RED,-16.03,0.32,20.01
6 RED - 13 BLUE,6 RED - 13 BLUE,-15.79,-6.0,-1.84
6 RED - 12 BLUE,6 RED - 12 BLUE,-15.14,-5.44,-3.35
6 RED - 11 BLUE,6 RED - 11 BLUE,-15.22,-5.0,-5.67
6 RED - 10 BLUE,6 RED - 10 BLUE,-14.42,-3.92,-6.5
6 RED - 9 BLUE,6 RED - 9 BLUE,-14.8,-2.84,-6.94
6 RED - 8 BLUE,6 RED - 8 BLUE,-13.75,-1.32,-9.1
6 RED - 7 BLUE,6 RED - 7 BLUE,-12.99,0.08,-10.25
6 RED - 6 BLUE,6 RED - 6 BLUE,-12.49,2.12,-9.99
6 RED - 5 BLUE,6 RED - 5 BLUE,-12.41,1.8,-11.77
6 RED - 4 BLUE,6 RED - 4 BLUE,-12.13,2.8,-11.29
6 RED - 3 BLUE,6 RED - 3 BLUE,-11.3,3.28,-12.63
6 RED - 2 BLUE,6 RED - 2 BLUE,-11.47,5.32,-11.99
6 RED - 1 BLUE,6 RED - 1 BLUE,-10.9,5.4,-12.97
6 RED - Jester,6 RED - Jester,-9.1,15.68,-13.58
5 RED - 4 RED,5 RED - 4 RED,-15.72,0.24,23.18
5 RED - 3 RED,5 RED - 3 RED,-15.85,1.44,21.38
5 RED - 2 RED,5 RED - 2 RED,-15.38,1.28,19.5
5 RED - 1 RED,5 RED - 1 RED,-15.93,1.4,19.61
5 RED - 13 BLUE,5 RED - 13 BLUE,-15.31,-6.12,-2.75
5 RED - 12 BLUE,5 RED - 12 BLUE,-15.22,-5.8,-3.91
5 RED - 11 BLUE,5 RED - 11 BLUE,-15.05,-5.2,-4.75
5 RED - 10 BLUE,5 RED - 10 BLUE,-14.33,-4.2,-7.26
5 RED - 9 BLUE,5 RED - 9 BLUE,-14.09,-4.0,-7.39
5 RED - 8 BLUE,5 RED - 8 BLUE,-13.4,-2.08,-9.29
5 RED - 7 BLUE,5 RED - 7 BLUE,-12.99,-0.2,-10.03
5 RED - 6 BLUE,5 RED - 6 BLUE,-12.41,0.0,-9.81
5 RED - 5 BLUE,5 RED - 5 BLUE,-12.13,1.64,-11.18
5 RED - 4 BLUE,5 RED - 4 BLUE,-12.04,2.24,-11.69
5 RED - 3 BLUE,5 RED - 3 BLUE,-11.26,3.32,-12.14
5 RED - 2 BLUE,5 RED - 2 BLUE,-10.92,3.88,-13.02
5 RED - 1 BLUE,5 RED - 1 BLUE,-10.75,5.6,-13.3
5 RED - Jester,5 RED - Jester,-9.34,16.24,-13.44
4 RED - 3 RED,4 RED - 3 RED,-15.53,2.4,21.32
4 RED - 2 RED,4 RED - 2 RED,-15.91,0.6,22.4
4 RED - 1 RED,4 RED - 1 RED,-15.4,2.0,18.62
4 RED - 13 BLUE,4 RED - 13 BLUE,-15.49,-5.68,-2.84
4 RED - 12 BLUE,4 RED - 12 BLUE,-14.77,-6.48,-4.56
4 RED - 11 BLUE,4 RED - 11 BLUE,-14.22,-4.08,-5.15
4 RED - 10 BLUE,4 RED - 10 BLUE,-14.17,-4.36,-6.83
4 RED - 9 BLUE,4 RED - 9 BLUE,-13.41,-3.72,-7.91
4 RED - 8 BLUE,4 RED - 8 BLUE,-13.14,-2.76,-9.56
4 RED - 7 BLUE,4 RED - 7 BLUE,-12.88,-1.52,-10.22
4 RED - 6 BLUE,4 RED - 6 BLUE,-11.97,0.12,-10.6
4 RED - 5 BLUE,4 RED - 5 BLUE,-12.09,1.84,-11.12
4 RED - 4 BLUE,4 RED - 4 BLUE,-11.81,2.44,-11.28
4 RED - 3 BLUE,4 RED - 3 BLUE,-11.34,2.28,-12.36
4 RED - 2 BLUE,4 RED - 2 BLUE,-10.11,2.56,-13.72
4 RED - 1 BLUE,4 RED - 1 BLUE,-10.05,6.2,-13.41
4 RED - Jester,4 RED - Jester,-9.22,14.2,-13.95
3 RED - 2 RED,3 RED - 2 RED,-15.2,2.48,20.26
3 RED - 1 RED,3 RED - 1 RED,-14.8,2.88,18.39
3 RED - 13 BLUE,3 RED - 13 BLUE,-14.63,-5.84,-3.31
3 RED - 12 BLUE,3 RED - 12 BLUE,-14.8,-5.44,-4.31
3 RED - 11 BLUE,3 RED - 11 BLUE,-14.1,-5.4,-5.48
3 RED - 10 BLUE,3 RED - 10 BLUE,-13.65,-3.32,-7.73
3 RED - 9 BLUE,3 RED - 9 BLUE,-13.16,-3.2,-8.09
3 RED - 8 BLUE,3 RED - 8 BLUE,-12.81,-2.36,-10.19
3 RED - 7 BLUE,3 RED - 7 BLUE,-12.74,-1.16,-10.65
3 RED - 6 BLUE,3 RED - 6 BLUE,-10.93,-0.92,-11.76
3 RED - 5 BLUE,3 RED - 5 BLUE,-11.82,0.76,-10.69
3 RED - 4 BLUE,3 RED - 4 BLUE,-11.31,1.64,-12.17
3 RED - 3 BLUE,3 RED - 3 BLUE,-10.35,1.96,-13.29
3 RED - 2 BLUE,3 RED - 2 BLUE,-10.6,4.32,-13.05
3 RED - 1 BLUE,3 RED - 1 BLUE,-10.11,5.52,-13.35
3 RED - Jester,3 RED - Jester,-8.77,14.92,-13.77
2 RED - 1 RED,2 RED - 1 RED,-15.5,2.0,21.4
2 RED - 13 BLUE,2 RED - 13 BLUE,-14.69,-5.24,-3.27
2 RED - 12 BLUE,2 RED - 12 BLUE,-13.83,-6.24,-6.09
2 RED - 11 BLUE,2 RED - 11 BLUE,-13.98,-3.92,-6.06
2 RED - 10 BLUE,2 RED - 10 BLUE,-13.77,-3.88,-6.9
2 RED - 9 BLUE,2 RED - 9 BLUE,-12.54,-3.0,-8.61
2 RED - 8 BLUE,2 RED - 8 BLUE,-12.5,-1.36,-9.93
2 RED - 7 BLUE,2 RED - 7 BLUE,-12.32,-1.16,-9.33
2 RED - 6 BLUE,2 RED - 6 BLUE,-11.92,-0.92,-10.63
2 RED - 5 BLUE,2 RED - 5 BLUE,-11.63,0.76,-11.75
2 RED - 4 BLUE,2 RED - 4 BLUE,-11.21,-0.2,-12.72
2 RED - 3 BLUE,2 RED - 3 BLUE,-10.46,1.68,-12.87
2 RED - 2 BLUE,2 RED - 2 BLUE,-10.15,3.8,-13.41
2 RED - 1 BLUE,2 RED - 1 BLUE,-9.87,3.72,-13.74
2 RED - Jester,2 RED - Jester,-8.77,12.64,-14.34
1 RED - 13 BLUE,1 RED - 13 BLUE,-13.82,-4.64,-2.95
1 RED - 12 BLUE,1 RED - 12 BLUE,-13.68,-5.08,-5.47
1 RED - 11 BLUE,1 RED - 11 BLUE,-13.31,-4.76,-6.45
1 RED - 10 BLUE,1 RED - 10 BLUE,-13.09,-4.36,-8.11
1 RED - 9 BLUE,1 RED - 9 BLUE,-12.59,-4.32,-9.05
1 RED - 8 BLUE,1 RED - 8 BLUE,-12.34,-2.92,-9.63
1 RED - 7 BLUE,1 RED - 7 BLUE,-11.2,-0.96,-10.98
1 RED - 6 BLUE,1 RED - 6 BLUE,-11.21,-1.12,-11.19
1 RED - 5 BLUE,1 RED - 5 BLUE,-10.28,-0.12,-12.19
1 RED - 4 BLUE,1 RED - 4 BLUE,-10.85,0.88,-12.67
1 RED - 3 BLUE,1 RED - 3 BLUE,-9.95,0.68,-13.18
1 RED - 2 BLUE,1 RED - 2 BLUE,-10.24,2.48,-13.55
1 RED - 1 BLUE,1 RED - 1 BLUE,-10.2,4.16,-13.56
1 RED - Jester,1 RED - Jester,-8.71,13.08,-14.23
13 BLUE - 12 BLUE,13 BLUE - 12 BLUE,-0.55,-7.6,-13.52
13 BLUE - 11 BLUE,13 BLUE - 11 BLUE,1.53,-8.12,-15.61
13 BLUE - 10 BLUE,13 BLUE - 10 BLUE,-0.24,-8.56,-16.09
13 BLUE - 9 BLUE,13 BLUE - 9 BLUE,-0.61,-8.44,-16.69
13 BLUE - 8 BLUE,13 BLUE - 8 BLUE,0.54,-8.24,-17.09
13 BLUE - 7 BLUE,13 BLUE - 7 BLUE,0.85,-8.88,-17.65
13 BLUE - 6 BLUE,13 BLUE - 6 BLUE,0.57,-8.8,-17.84
13 BLUE - 5 BLUE,13 BLUE - 5 BLUE,1.07,-8.88,-18.3
13 BLUE - 4 BLUE,13 BLUE - 4 BLUE,2.02,-8.88,-18.85
13 BLUE - 3 BLUE,13 BLUE - 3 BLUE,1.51,-8.72,-19.0
13 BLUE - 2 BLUE,13 BLUE - 2 BLUE,1.56,-8.48,-19.27
13 BLUE - 1 BLUE,13 BLUE - 1 BLUE,2.34,-8.4,-19.44
13 BLUE - 13 GREEN,13 BLUE - 13 GREEN,-10.24,-6.6,-3.82
13 BLUE - 12 GREEN,13 BLUE - 12 GREEN,-8.05,-6.08,-5.83
13 BLUE - 11 GREEN,13 BLUE - 11 GREEN,-7.26,-6.72,-8.75
13 BLUE - 10 GREEN,13 BLUE - 10 GREEN,-6.34,-6.76,-9.04
13 BLUE - 9 GREEN,13 BLUE - 9 GREEN,-5.4,-5.92,-10.29
13 BLUE - 8 GREEN,13 BLUE - 8 GREEN,-4.71,-5.0,-11.42
13 BLUE - 7 GREEN,13 BLUE - 7 GREEN,-3.23,-5.96,-12.82
13 BLUE - 6 GREEN,13 BLUE - 6 GREEN,-2.3,-6.12,-14.46
13 BLUE - 5 GREEN,13 BLUE - 5 GREEN,-1.65,-5.88,-15.26
13 BLUE - 4 GREEN,13 BLUE - 4 GREEN,-0.99,-5.72,-15.18
13 BLUE - 3 GREEN,13 BLUE - 3 GREEN,0.28,-4.68,-15.74
13 BLUE - 2 GREEN,13 BLUE - 2 GREEN,1.75,-5.88,-16.48
13 BLUE - 1 GREEN,13 BLUE - 1 GREEN,0.21,-4.52,-16.39
13 BLUE - Jester,13 BLUE - Jester,4.13,-8.12,-19.53
12 BLUE - 11 BLUE,12 BLUE - 11 BLUE,3.06,-8.0,-15.78
12 BLUE - 10 BLUE,12 BLUE - 10 BLUE,2.71,-8.16,-15.77
12 BLUE - 9 BLUE,12 BLUE - 9 BLUE,3.22,-8.36,-16.67
12 BLUE - 8 BLUE,12 BLUE - 8 BLUE,2.83,-8.24,-17.18
12 BLUE - 7 BLUE,12 BLUE - 7 BLUE,1.75,-8.8,-17.53
12 BLUE - 6 BLUE,12 BLUE - 6 BLUE,2.58,-8.4,-18.23
12 BLUE - 5 BLUE,12 BLUE - 5 BLUE,1.88,-8.36,-18.74
12 BLUE - 4 BLUE,12 BLUE - 4 BLUE,3.44,-8.52,-18.83
12 BLUE - 3 BLUE,12 BLUE - 3 BLUE,2.87,-9.0,-19.21
12 BLUE - 2 BLUE,12 BLUE - 2 BLUE,3.61,-8.72,-19.19
12 BLUE - 1 BLUE,12 BLUE - 1 BLUE,3.79,-8.76,-19.47
12 BLUE - 12 GREEN,12 BLUE - 12 GREEN,-7.38,-6.64,-7.82
12 BLUE - 11 GREEN,12 BLUE - 11 GREEN,-6.51,-6.2,-9.3
12 BLUE - 10 GREEN,12 BLUE - 10 GREEN,-5.14,-7.04,-11.55
12 BLUE - 9 GREEN,12 BLUE - 9 GREEN,-4.21,-6.8,-11.91
12 BLUE - 8 GREEN,12 BLUE - 8 GREEN,-3.98,-5.88,-13.33
12 BLUE - 7 GREEN,12 BLUE - 7 GREEN,-1.73,-5.68,-13.43
12 BLUE - 6 GREEN,12 BLUE - 6 GREEN,-1.46,-5.88,-15.4
12 BLUE - 5 GREEN,12 BLUE - 5 GREEN,0.87,-6.28,-15.66
12 BLUE - 4 GREEN,12 BLUE - 4 GREEN,0.29,-6.28,-15.62
12 BLUE - 3 GREEN,12 BLUE - 3 GREEN,1.43,-6.52,-16.22
12 BLUE - 2 GREEN,12 BLUE - 2 GREEN,3.31,-6.36,-16.79
12 BLUE - 1 GREEN,12 BLUE - 1 GREEN,2.65,-5.32,-17.66
12 BLUE - Jester,12 BLUE - Jester,5.87,-8.24,-19.56
11 BLUE - 10 BLUE,11 BLUE - 10 BLUE,4.84,-7.68,-16.31
11 BLUE - 9 BLUE,11 BLUE - 9 BLUE,5.66,-8.08,-16.69
11 BLUE - 8 BLUE,11 BLUE - 8 BLUE,4.91,-8.16,-17.24
11 BLUE - 7 BLUE,11 BLUE - 7 BLUE,3.67,-8.48,-17.48
11 BLUE - 6 BLUE,11 BLUE - 6 BLUE,3.73,-9.04,-18.32
11 BLUE - 5 BLUE,11 BLUE - 5 BLUE,4.72,-8.88,-18.62
11 BLUE - 4 BLUE,11 BLUE - 4 BLUE,6.18,-9.0,-18.75
11 BLUE - 3 BLUE,11 BLUE - 3 BLUE,5.42,-8.96,-19.18
11 BLUE - 2 BLUE,11 BLUE - 2 BLUE,4.72,-8.88,-19.12
11 BLUE - 1 BLUE,11 BLUE - 1 BLUE,5.59,-8.96,-19.54
11 BLUE - 11 GREEN,11 BLUE - 11 GREEN,-4.94,-6.84,-10.5
11 BLUE - 10 GREEN,11 BLUE - 10 GREEN,-4.54,-6.36,-11.51
11 BLUE - 9 GREEN,11 BLUE - 9 GREEN,-3.21,-7.2,-13.28
11 BLUE - 8 GREEN,11 BLUE - 8 GREEN,-2.51,-7.36,-14.3
