tested_combination,combination_played_order,score_prediction_0,score_prediction_1,score_prediction_2
Magician - Magician,Magician - Magician,-20.0,-10.0,40.0
Magician - 13 RED,Magician - 13 RED,-19.78,-9.12,35.65
Magician - 12 RED,Magician - 12 RED,-19.84,-9.4,33.94
Magician - 11 RED,Magician - 11 RED,-19.76,-9.12,32.82
Magician - 10 RED,Magician - 10 RED,-19.68,-8.76,31.17
Magician - 9 RED,Magician - 9 RED,-19.67,-8.88,29.8
Magician - 8 RED,Magician - 8 RED,-19.69,-9.04,28.93
Magician - 7 RED,Magician - 7 RED,-19.69,-8.8,27.38
Magician - 6 RED,Magician - 6 RED,-19.61,-8.72,27.37
Magician - 5 RED,Magician - 5 RED,-19.58,-8.64,25.06
Magician - 4 RED,Magician - 4 RED,-19.48,-8.36,24.63
Magician - 3 RED,Magician - 3 RED,-19.7,-9.12,23.68
Magician - 2 RED,Magician - 2 RED,-19.39,-7.92,23.09
Magician - 1 RED,Magician - 1 RED,-19.48,-8.2,20.9
Magician - 13 BLUE,Magician - 13 BLUE,-19.04,-7.8,0.27
Magician - 12 BLUE,Magician - 12 BLUE,-18.94,-6.92,-1.86
Magician - 11 BLUE,Magician - 11 BLUE,-18.78,-6.44,-3.39
Magician - 10 BLUE,Magician - 10 BLUE,-18.68,-6.24,-3.66
Magician - 9 BLUE,Magician - 9 BLUE,-18.39,-5.44,-5.67
Magician - 8 BLUE,Magician - 8 BLUE,-18.18,-4.44,-5.54
Magician - 7 BLUE,Magician - 7 BLUE,-18.1,-4.32,-6.33
Magician - 6 BLUE,Magician - 6 BLUE,-18.08,-4.12,-8.06
Magician - 5 BLUE,Magician - 5 BLUE,-17.66,-2.0,-8.26
Magician - 4 BLUE,Magician - 4 BLUE,-17.44,-1.68,-8.94
Magician - 3 BLUE,Magician - 3 BLUE,-17.22,-0.48,-9.2
Magician - 2 BLUE,Magician - 2 BLUE,-17.16,0.0,-9.5
Magician - 1 BLUE,Magician - 1 BLUE,-16.4,2.32,-9.98
Magician - Jester,Magician - Jester,-10.0,28.64,-10.34
13 RED - 12 RED,13 RED - 12 RED,-18.46,-4.04,32.43
13 RED - 11 RED,13 RED - 11 RED,-18.38,-4.0,31.16
13 RED - 10 RED,13 RED - 10 RED,-18.28,-3.6,29.06
13 RED - 9 RED,13 RED - 9 RED,-18.21,-3.64,28.21
13 RED - 8 RED,13 RED - 8 RED,-18.39,-4.2,26.84
13 RED - 7 RED,13 RED - 7 RED,-18.14,-3.96,25.07
13 RED - 6 RED,13 RED - 6 RED,-18.05,-3.8,23.9
13 RED - 5 RED,13 RED - 5 RED,-18.18,-4.0,23.44
13 RED - 4 RED,13 RED - 4 RED,-18.17,-4.2,22.53
13 RED - 3 RED,13 RED - 3 RED,-17.87,-2.92,20.08
13 RED - 2 RED,13 RED - 2 RED,-18.09,-3.52,20.87
13 RED - 1 RED,13 RED - 1 RED,-18.32,-4.44,21.09
13 RED - 13 BLUE,13 RED - 13 BLUE,-17.93,-6.68,-0.61
13 RED - 12 BLUE,13 RED - 12 BLUE,-17.58,-5.8,-1.43
13 RED - 11 BLUE,13 RED - 11 BLUE,-17.16,-4.6,-2.47
13 RED - 10 BLUE,13 RED - 10 BLUE,-16.88,-3.36,-4.08
13 RED - 9 BLUE,13 RED - 9 BLUE,-15.94,-0.56,-6.09
13 RED - 8 BLUE,13 RED - 8 BLUE,-15.71,0.2,-7.3
13 RED - 7 BLUE,13 RED - 7 BLUE,-15.07,1.4,-7.34
13 RED - 6 BLUE,13 RED - 6 BLUE,-14.58,3.6,-8.95
13 RED - 5 BLUE,13 RED - 5 BLUE,-14.39,4.8,-9.16
13 RED - 4 BLUE,13 RED - 4 BLUE,-14.16,6.08,-9.69
13 RED - 3 BLUE,13 RED - 3 BLUE,-13.63,6.36,-10.45
13 RED - 2 BLUE,13 RED - 2 BLUE,-13.18,9.8,-10.86
13 RED - 1 BLUE,13 RED - 1 BLUE,-12.69,10.32,-11.16
13 RED - Jester,13 RED - Jester,-9.94,22.56,-11.86
12 RED - 11 RED,12 RED - 11 RED,-17.92,-2.44,30.13
12 RED - 10 RED,12 RED - 10 RED,-17.99,-3.08,29.02
12 RED - 9 RED,12 RED - 9 RED,-18.16,-3.8,28.91
12 RED - 8 RED,12 RED - 8 RED,-18.34,-4.2,27.87
12 RED - 7 RED,12 RED - 7 RED,-17.77,-1.84,24.17
12 RED - 6 RED,12 RED - 6 RED,-18.13,-3.4,24.71
12 RED - 5 RED,12 RED - 5 RED,-17.79,-2.8,22.13
12 RED - 4 RED,12 RED - 4 RED,-17.74,-2.44,21.79
12 RED - 3 RED,12 RED - 3 RED,-17.89,-3.16,20.63
12 RED - 2 RED,12 RED - 2 RED,-17.9,-3.36,20.13
12 RED - 1 RED,12 RED - 1 RED,-17.99,-3.44,20.04
12 RED - 13 BLUE,12 RED - 13 BLUE,-17.64,-7.16,-0.19
12 RED - 12 BLUE,12 RED - 12 BLUE,-17.33,-5.76,-1.59
12 RED - 11 BLUE,12 RED - 11 BLUE,-17.07,-4.56,-3.39
12 RED - 10 BLUE,12 RED - 10 BLUE,-16.33,-2.56,-4.93
12 RED - 9 BLUE,12 RED - 9 BLUE,-16.08,-1.96,-5.18
12 RED - 8 BLUE,12 RED - 8 BLUE,-15.38,-0.12,-8.42
12 RED - 7 BLUE,12 RED - 7 BLUE,-15.09,0.8,-7.16
12 RED - 6 BLUE,12 RED - 6 BLUE,-14.8,1.88,-8.78
